GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,year
39001,Adams County,76.06490425435975,8.456644569118076,149.61549875570495,679.75,2019
39003,Allen County,82.12284354923905,10.081722756316356,37.948251510468815,4818.5,2019
39005,Ashland County,82.50535523567007,13.320805854936932,44.32916533807399,1775.5,2019
39007,Ashtabula County,69.56488804951506,10.62327006758598,44.31993949063133,4277.25,2019
39009,Athens County,46.6679316981238,7.20223022530487,81.63573837290375,2731.75,2019
39011,Auglaize County,76.5879618244284,11.604354865118264,35.04741539160711,1493.75,2019
39013,Belmont County,151.13063952793138,14.88733289216396,44.97770735707901,2561.25,2019
39015,Brown County,79.06666775154048,11.255229818409324,64.00714834360821,1375.5,2019
39017,Butler County,121.53779338602772,29.089056424053272,27.656474807025106,23342.25,2019
39019,Carroll County,60.08815754290905,8.641342888907465,78.35067770205453,1030.25,2019
39021,Champaign County,58.25787363493552,7.708142298441244,64.26880206731232,1601.5,2019
39023,Clark County,90.356087999482,12.010113113643476,40.80149623399628,5952.75,2019
39025,Clermont County,127.16152325562943,29.156589693014784,24.708282330518276,12839.5,2019
39027,Clinton County,91.1522002304533,9.41446806238898,51.53254409118148,1721.0,2019
39029,Columbiana County,95.87234133305392,10.96101526702855,39.2603557380741,3171.0,2019
39031,Coshocton County,53.75982853179024,6.848533499673221,137.09658923622982,1240.5,2019
39033,Crawford County,71.33560428622484,9.31645819072405,40.23024656034883,1318.0,2019
39035,Cuyahoga County,106.89802338809018,40.2855369569884,23.965807576585263,79924.75,2019
39037,Darke County,67.20065371476564,8.988051046225813,58.06297898758788,2207.25,2019
39039,Defiance County,82.21178878062852,11.223920983829986,51.5607666311104,1217.0,2019
39041,Delaware County,87.33947454174279,16.69081154935972,27.962991803679717,23801.0,2019
39043,Erie County,58.9427106769083,8.271301920977447,38.55842061981482,3718.0,2019
39045,Fairfield County,88.5041997049997,20.61766874529198,31.76757126069638,11500.25,2019
39047,Fayette County,84.67067676477708,9.256934409474932,52.97553213615187,1513.75,2019
39049,Franklin County,94.2586998445625,24.59554036870374,26.33089769569754,95125.0,2019
39051,Fulton County,65.9550789852082,8.367990677761004,46.860818084385095,1468.5,2019
39053,Gallia County,72.69019320983004,15.998929879644166,93.7182077348431,1050.0,2019
39055,Geauga County,64.13791502351089,9.574145608769884,34.57781300540382,6734.25,2019
39057,Greene County,96.44471543362825,21.5056705492215,41.51746919837694,11569.5,2019
39059,Guernsey County,51.71192086235362,7.362792335615113,53.29179172182482,1394.75,2019
39061,Hamilton County,112.46977721689169,37.43935582101268,23.65203144104624,44332.0,2019
39063,Hancock County,74.51428471240668,13.814216341722494,40.51126115299029,3960.75,2019
39065,Hardin County,53.80349330502682,6.978264085271396,67.48287783358151,1263.25,2019
39067,Harrison County,51.39824270501067,7.42481139668867,111.72374463016816,431.5,2019
39069,Henry County,61.344413194507176,8.217847948109366,50.274957397523245,863.0,2019
39071,Highland County,90.91117384715598,9.012956269572385,69.90473378551683,1329.25,2019
39073,Hocking County,36.48526305002727,5.0498362684014175,123.9128478685102,1698.5,2019
39075,Holmes County,46.97263116628129,8.209461518145712,54.396625311888016,1362.75,2019
39077,Huron County,79.87212515511492,10.02083674515248,43.36531907870036,2489.0,2019
39079,Jackson County,73.19738518131284,8.40408442713779,104.32655443305228,998.5,2019
39081,Jefferson County,84.47507716568246,9.525783595494362,63.63544091943504,2062.25,2019
39083,Knox County,66.99152552237254,8.184946057954553,64.36854275118316,2339.0,2019
39085,Lake County,92.99433631514874,20.613981875926164,24.776478222505546,16859.25,2019
39087,Lawrence County,86.0526961299094,11.585471829032343,74.15852049497337,2287.25,2019
39089,Licking County,89.82166032920254,11.94790573567726,31.94087084777061,12000.75,2019
39091,Logan County,63.59831686322369,8.688808114372454,46.47532939108472,2618.5,2019
39093,Lorain County,93.39628837599548,13.4259477376766,31.96525187602232,21522.5,2019
39095,Lucas County,65.7765353254221,11.912726912658949,31.938540984786645,15663.0,2019
39097,Madison County,86.24108123548818,10.94172609568784,31.559320462155377,2248.5,2019
39099,Mahoning County,89.34834986190873,12.090273615134116,23.56735478662113,9818.25,2019
39101,Marion County,78.59192113460816,9.503930443075724,43.67171085778962,2998.25,2019
39103,Medina County,95.95936036889152,13.31749094963169,25.905678614451038,12580.5,2019
39105,Meigs County,69.11034560679586,14.628481835543743,64.23709010121193,846.5,2019
39107,Mercer County,54.10739121812571,8.6248713805016,35.548282948197055,1126.0,2019
39109,Miami County,88.2267095829049,11.116476334326926,34.56821943248495,6625.75,2019
39111,Monroe County,20.32747145093701,7.0968666058390495,183.11828979273483,348.75,2019
39113,Montgomery County,98.40524511777492,21.25416366365725,34.39210334278219,31606.5,2019
39115,Morgan County,75.22516786676155,6.805205598149064,94.39874909161736,307.25,2019
39117,Morrow County,60.0542542603545,17.697944861988496,64.03520936790876,1255.25,2019
39119,Muskingum County,82.31727506932687,10.583916502655384,39.88313980989372,3519.75,2019
39121,Noble County,47.3034225129691,5.703162240349087,82.97520947974573,351.5,2019
39123,Ottawa County,75.6017083281622,9.828630833338355,42.48834690578281,3017.0,2019
39125,Paulding County,59.15561489878248,9.672028214922848,76.94533957862927,438.0,2019
39127,Perry County,59.27760109350854,8.019219276872363,62.17936107626858,1242.75,2019
39129,Pickaway County,63.03605301482979,12.43920631824363,50.41149550722192,3492.5,2019
39131,Pike County,52.14832647589926,6.648848398876499,79.8431916915516,1617.75,2019
39133,Portage County,90.05546807615954,13.989129400609071,26.326110458001725,9860.5,2019
