year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2021,56001,56,Wyoming,Albany,1.3266410958904067,0.13818082191780803,107.17162739726041,32.972673972602784,604.77656438356,425.12131780821858,43.964032876712324,43.798915068493152,51.832443835616452,52.092413698630104,2920
2021,56003,56,Wyoming,Big Horn,7.9295534246575219,1.9890794520547954,42.29593424657542,22.137687671232882,121.74364931506842,85.071706849314921,36.798465753424786,36.828350684931458,40.215252054794533,39.987013698630086,2920
2021,56005,56,Wyoming,Campbell,2.2769123287671187,0.30693150684931536,64.321939726027367,11.759808219178071,260.18020273972667,81.588934246575249,35.216863013698585,35.14852602739731,39.9830767123287,39.986863013698674,2920
2021,56007,56,Wyoming,Carbon,6.8388301369863038,1.2062383561643844,66.862657534246637,19.737465753424665,210.40524109589023,95.542838356164367,44.53413698630132,44.224882191780814,48.371446575342411,48.11623287671236,2920
2021,56009,56,Wyoming,Converse,6.0052191780821857,1.3432876712328783,44.424832876712316,12.805136986301385,118.88613150684947,55.045013698630179,36.6324082191781,36.24253424657531,42.382290410958909,42.792112328767161,2920
2021,56011,56,Wyoming,Crook,17.88401071428574,8.354553571428589,30.73559285714294,16.093285714285727,46.827067857142907,26.29587499999997,57.191978571428649,56.660217857142904,53.988439285714321,54.368275000000054,2240
2021,56013,56,Wyoming,Fremont,1.5646191780821894,0.32639178082191755,66.242504109589,32.584339726027473,285.88538904109572,265.18340273972512,35.621802739726057,35.537076712328705,40.445430136986346,40.430336986301278,2920
2021,56015,56,Wyoming,Goshen,10.977608938547482,1.9909217877094896,46.056502793296218,8.9475586592178953,106.96362290502795,26.890494413407762,34.282301675977635,34.6643547486034,39.803349162011237,39.671371508379927,2864
2021,56017,56,Wyoming,Hot Springs,51.2806630136986,6.8273972602739592,84.731504109588968,13.464712328767121,123.03808493150673,22.981909589041148,28.852156164383533,28.785430136986275,29.335254794520566,29.93299452054794,2920
2021,56019,56,Wyoming,Johnson,24.13546685082872,3.6262541436463978,75.162662983425363,12.277411602209948,148.62031215469614,30.794737569060818,39.362977900552558,39.573002762430846,41.909668508287353,42.219176795580033,2896
2021,56021,56,Wyoming,Laramie,0.40791780821917822,0.048841095890410878,92.443169863013622,20.647780821917859,676.594164383563,497.64407123287731,27.331164383561582,27.246238356164387,32.433000000000028,32.403728767123219,2920
2021,56023,56,Wyoming,Lincoln,4.3262084432717653,1.1050131926121358,58.613474934036979,26.422387862796789,201.60638522427442,129.25013192612172,51.979630606860233,52.139358839050189,54.021852242744089,54.04418733509236,3032
2021,56025,56,Wyoming,Natrona,0.95818356164383567,0.095221917808219231,79.817832876712558,12.613410958904119,378.95523835616507,128.44034794520545,32.662364383561631,32.756347945205519,39.739632876712228,39.503575342465652,2920
2021,56027,56,Wyoming,Niobrara,35.742038961038972,11.750168831168866,42.195480519480533,15.374441558441593,50.638675324675283,19.470298701298724,26.988499999999988,27.216292207792225,35.308597402597378,31.454961038961041,1232
2021,56029,56,Wyoming,Park,10.734072639225175,7.6902106537530193,60.218246973365694,35.278673123486719,227.75812590799021,144.64540920096871,27.626520581113759,27.620135593220287,31.229334140435782,31.270484261501178,3304
2021,56031,56,Wyoming,Platte,12.431092957746483,2.7510535211267495,40.145929577464727,10.834614084507061,84.0551098591548,27.626318309859212,47.3739690140846,47.504788732394331,53.613160563380248,52.9855521126761,2840
2021,56033,56,Wyoming,Sheridan,2.8639178082191865,0.42955890410958852,58.284323287671178,14.157778082191813,223.01569589041105,100.99772328767121,34.0720191780821,34.032145205479473,39.139813698630107,39.253594520547885,2920
2021,56035,56,Wyoming,Sublette,18.036702194357378,5.734366771159868,54.879015673981215,20.477369905956095,124.1901912225705,51.385962382445129,46.01178683385578,46.136363636363633,55.086536050156717,54.019050156739844,2552
2021,56037,56,Wyoming,Sweetwater,0.47256712328767103,0.075013698630136891,57.323473972602891,16.035736986301391,414.44598630136926,240.95791506849298,32.109350684931542,32.021597260273928,34.660457534246476,34.838989041095928,2920
2021,56039,56,Wyoming,Teton,1.6200465753424667,0.22512054794520586,96.8910739726027,21.602068493150711,352.99143013698676,170.56949041095936,37.445427397260246,37.386142465753544,40.834660273972659,41.002739726027464,2920
2021,56041,56,Wyoming,Uinta,5.4285726027397256,0.98073972602739823,61.966553424657484,18.311421917808254,182.619183561644,85.504860273972639,30.556452054794512,30.608671232876695,33.889328767123239,33.744084931506819,2920
2021,56043,56,Wyoming,Washakie,25.356838487972528,10.178756013745666,49.736027491408912,19.153666666666677,83.08775601374559,33.466780068728518,42.479996563573778,42.623649484536053,48.205673539518905,47.814000000000028,2328
2021,56045,56,Wyoming,Weston,15.913680921052638,3.7434046052631582,30.903523026315778,10.018608552631566,50.165292763157851,19.464740131578957,53.473421052631487,52.942717105263149,53.894749999999974,53.466032894736976,2432
