year,geoid,state,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max
2020,01,Alabama,Autauga,2.4499130434782477,0.469260869565226,105.68613043477453,46.898956521738121,460.68230434782328,308.20639130431636
2020,01,Alabama,Baldwin,0.067347826086954832,0.018086956521737897,61.687391304346804,25.550826086955336,639.43343478263955,482.19878260868279
2020,01,Alabama,Barbour,18.591727272727091,3.3227272727276351,61.658545454551245,11.047318181817706,138.87927272726895,24.016681818180995
2020,01,Alabama,Bibb,1.2803043478260034,1.0311304347825909,37.336652173914125,21.970521739128507,120.20973913043623,94.709347826086471
2020,01,Alabama,Blount,0.48634782608696808,0.079130434782607215,37.600869565214978,8.36065217391225,262.437826086959,81.630478260872167
2020,01,Alabama,Bullock,6.6930526315788272,3.4374210526315712,19.163052631578598,12.959052631579754,35.976631578947078,24.884473684210622
2020,01,Alabama,Butler,3.3080434782608363,1.373521739130539,33.478739130436281,8.9203913043478629,89.694304347834134,20.672043478258949
2020,01,Alabama,Calhoun,0.35869565217389215,0.12526086956522034,78.212695652179036,26.832652173915466,539.04869565215927,333.00904347824985
2020,01,Alabama,Chambers,3.5306956521739421,0.56200000000002581,74.072391304343881,11.797652173911105,318.16965217390231,59.065347826081947
2020,01,Alabama,Cherokee,1.1499565217391736,0.20121739130435634,18.485304347825867,4.1340869565218172,74.718869565220132,19.185869565218887
2020,01,Alabama,Chilton,0.73939130434780675,0.18086956521738645,20.767043478260931,7.46126086956499,97.192217391298811,69.260043478256861
2020,01,Alabama,Choctaw,5.4664210526313912,0.61936842105261591,10.990842105262562,2.8795789473682261,20.886157894736233,9.7311052631571311
2020,01,Alabama,Clarke,8.2284090909097163,1.1817272727273336,29.50086363636353,9.8618636363643031,66.078772727268273,27.022045454547744
2020,01,Alabama,Clay,7.6381111111107067,6.1060000000002308,37.21388888888827,11.733500000000046,98.594111111111047,28.296055555552837
2020,01,Alabama,Cleburne,11.929705882352392,16.131000000000608,27.0249411764719,25.964352941175818,50.0455882352966,43.173235294119308
2020,01,Alabama,Coffee,0.63660869565216294,0.17291304347827366,59.54026086956285,19.81804347826214,336.47878260867685,278.40556521741581
2020,01,Alabama,Colbert,2.2513478260872368,0.4944782608696055,69.549086956520341,21.002130434780927,264.40104347826491,156.7926521739092
2020,01,Alabama,Conecuh,8.72900000000015,0.45992307692307161,13.865769230769224,4.1299230769229558,25.025923076924382,10.781461538460652
2020,01,Alabama,Coosa,23.115399999998491,2.8838999999997781,38.337050000003416,10.87475000000051,76.66404999999709,29.007199999997621
2020,01,Alabama,Covington,3.6139999999999866,1.8745217391305109,58.314173913047227,16.609739130435671,195.69421739132258,68.216086956524961
2020,01,Alabama,Crenshaw,13.285090909090631,8.8519545454539816,32.543545454544891,17.86218181818229,69.735499999989145,37.324454545454593
2020,01,Alabama,Cullman,0.39626086956521828,0.15626086956521842,64.904217391306432,16.97952173912817,356.49499999996772,295.294478260834
2020,01,Alabama,Dale,0.79434782608686827,0.14569565217391059,54.819826086957413,27.729478260868138,382.08291304347972,283.60682608697306
2020,01,Alabama,Dallas,3.4567272727273894,1.6186818181818887,51.765818181815632,9.9493636363631754,154.5769090909177,27.0605454545444
2020,01,Alabama,DeKalb,1.120173913043532,0.45278260869563469,66.2527826087006,39.951913043479415,286.90904347823891,236.4241739130527
2020,01,Alabama,Elmore,1.8606521739129176,0.22304347826088003,82.318652173915041,21.537565217392387,435.09108695649707,295.70569565215976
2020,01,Alabama,Escambia,1.5816521739129672,0.11121739130434724,68.780260869562554,13.720304347825971,310.4533913043357,68.911652173912159
2020,01,Alabama,Etowah,0.48478260869562467,0.12786956521737836,74.796391304352042,16.794521739132371,420.20073913042364,185.63791304346427
2020,01,Alabama,Fayette,6.8142500000003716,2.3490999999999267,30.848949999998823,11.155199999999331,74.617699999994969,33.676349999999651
2020,01,Alabama,Franklin,15.770833333332487,2.7138888888888628,46.636055555558542,7.1261666666666086,89.977611111114328,13.021499999999621
2020,01,Alabama,Geneva,18.95440909091025,3.5011363636359958,74.997681818173248,20.641590909091295,178.17172727273135,52.9649545454545
2020,01,Alabama,Greene,9.9544375000000134,9.0521249999995277,20.795375000000174,18.278500000001511,34.804937500002481,28.601687499999844
2020,01,Alabama,Hale,27.305476190475396,2.8849999999999829,51.074857142860211,14.861285714285151,92.8670476190474,39.3911904761921
2020,01,Alabama,Henry,8.64009523809543,1.955238095237948,19.765952380952271,5.5132380952381146,37.915142857144758,13.147142857142647
2020,01,Alabama,Houston,0.26573913043476266,0.059130434782606114,62.289173913046547,11.357000000000447,414.76530434783012,95.967043478268309
2020,01,Alabama,Jackson,1.7686521739129351,0.81821739130429016,57.628956521740051,39.260391304347749,307.03182608695545,247.96969565217253
2020,01,Alabama,Jefferson,0.056521739130432049,0.010565217391305759,84.20782608696058,29.790826086955061,828.1067391304,734.30504347820749
2020,01,Alabama,Lamar,18.106380952380427,13.178190476190881,45.147999999994873,25.668619047618396,82.955904761904677,43.99199999999977
2020,01,Alabama,Lauderdale,0.50056521739130388,0.14165217391304094,76.871434782610578,28.357260869565923,412.90173913041821,350.25143478262049
2020,01,Alabama,Lawrence,24.116526315787496,2.9065263157894918,40.927105263159874,6.2215789473686627,69.304368421058371,15.157578947368332
2020,01,Alabama,Lee,0.30291304347828524,0.032521739130434664,71.852956521741731,25.021,598.55534782605275,442.244913043462
2020,01,Alabama,Limestone,7.9020222222222172,4.3050888888887933,79.725311111116781,49.502977777779037,408.83611111110645,327.8147111111341
