year,geoid,state,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT _r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2
2020,01,Alabama,Autauga,2.4499130434782477,0.469260869565226,105.68613043477453,46.898956521738121,460.68230434782328,308.20639130431636,20.306739130435211,20.047956521740183,20.584347826087328,20.564000000000092
2020,01,Alabama,Baldwin,0.067347826086954832,0.018086956521737897,61.687391304346804,25.550826086955336,639.43343478263955,482.19878260868279,38.648608695652605,38.7755652173915,39.563913043476973,39.430260869571356
2020,01,Alabama,Barbour,18.591727272727091,3.3227272727276351,61.658545454551245,11.047318181817706,138.87927272726895,24.016681818180995,29.163181818180725,29.313909090910389,30.564318181820706,30.389909090910685
2020,01,Alabama,Bibb,1.2803043478260034,1.0311304347825909,37.336652173914125,21.970521739128507,120.20973913043623,94.709347826086471,30.798608695650351,31.024956521737163,28.385391304347237,29.085652173912223
2020,01,Alabama,Blount,0.48634782608696808,0.079130434782607215,37.600869565214978,8.36065217391225,262.437826086959,81.630478260872167,36.553173913046685,36.115913043480724,37.954608695653341,38.008695652170346
2020,01,Alabama,Bullock,6.6930526315788272,3.4374210526315712,19.163052631578598,12.959052631579754,35.976631578947078,24.884473684210622,24.512315789474577,26.248421052634658,27.017736842104821,25.740631578947493
2020,01,Alabama,Butler,3.3080434782608363,1.373521739130539,33.478739130436281,8.9203913043478629,89.694304347834134,20.672043478258949,36.634043478262186,37.0835652173957,35.350434782613071,35.744869565217783
2020,01,Alabama,Calhoun,0.35869565217389215,0.12526086956522034,78.212695652179036,26.832652173915466,539.04869565215927,333.00904347824985,22.015565217390535,22.1090434782606,22.788347826084795,22.549304347827736
2020,01,Alabama,Chambers,3.5306956521739421,0.56200000000002581,74.072391304343881,11.797652173911105,318.16965217390231,59.065347826081947,23.880999999999791,23.788739130435875,24.015956521737955,24.833043478260702
2020,01,Alabama,Cherokee,1.1499565217391736,0.20121739130435634,18.485304347825867,4.1340869565218172,74.718869565220132,19.185869565218887,31.245652173914195,31.157434782609744,34.931391304350555,33.207521739133725
2020,01,Alabama,Chilton,0.73939130434780675,0.18086956521738645,20.767043478260931,7.46126086956499,97.192217391298811,69.260043478256861,34.61986956522027,34.016956521742564,33.530086956524009,33.344391304349493
2020,01,Alabama,Choctaw,5.4664210526313912,0.61936842105261591,10.990842105262562,2.8795789473682261,20.886157894736233,9.7311052631571311,47.966263157894616,51.385631578946388,51.006736842106541,53.690000000000531
2020,01,Alabama,Clarke,8.2284090909097163,1.1817272727273336,29.50086363636353,9.8618636363643031,66.078772727268273,27.022045454547744,33.785954545457322,39.374681818182566,34.703863636361106,34.103999999998074
2020,01,Alabama,Clay,7.6381111111107067,6.1060000000002308,37.21388888888827,11.733500000000046,98.594111111111047,28.296055555552837,43.75027777777867,44.778388888885296,36.955555555555279,36.234833333337257
2020,01,Alabama,Cleburne,11.929705882352392,16.131000000000608,27.0249411764719,25.964352941175818,50.0455882352966,43.173235294119308,24.942235294118383,24.638999999999953,27.949117647057953,30.916235294115708
2020,01,Alabama,Coffee,0.63660869565216294,0.17291304347827366,59.54026086956285,19.81804347826214,336.47878260867685,278.40556521741581,38.53039130434518,38.540739130437288,40.031434782603661,39.869782608694237
2020,01,Alabama,Colbert,2.2513478260872368,0.4944782608696055,69.549086956520341,21.002130434780927,264.40104347826491,156.7926521739092,28.579304347825982,28.783956521735931,30.697956521737581,30.634782608693584
2020,01,Alabama,Conecuh,8.72900000000015,0.45992307692307161,13.865769230769224,4.1299230769229558,25.025923076924382,10.781461538460652,45.918153846155008,46.234384615381096,70.350538461535436,70.350538461535436
2020,01,Alabama,Coosa,23.115399999998491,2.8838999999997781,38.337050000003416,10.87475000000051,76.66404999999709,29.007199999997621,31.815800000003758,33.429300000000907,29.438600000001298,30.127500000000271
2020,01,Alabama,Covington,3.6139999999999866,1.8745217391305109,58.314173913047227,16.609739130435671,195.69421739132258,68.216086956524961,45.057173913041836,42.869130434783251,45.757652173915041,44.012608695650478
2020,01,Alabama,Crenshaw,13.285090909090631,8.8519545454539816,32.543545454544891,17.86218181818229,69.735499999989145,37.324454545454593,32.006590909091784,32.751727272723734,33.850909090906725,31.384727272730981
2020,01,Alabama,Cullman,0.39626086956521828,0.15626086956521842,64.904217391306432,16.97952173912817,356.49499999996772,295.294478260834,33.479217391304665,33.344565217389928,34.294086956521788,34.359130434781946
2020,01,Alabama,Dale,0.79434782608686827,0.14569565217391059,54.819826086957413,27.729478260868138,382.08291304347972,283.60682608697306,35.2153478260849,35.971086956525092,38.616130434779379,37.649086956522765
2020,01,Alabama,Dallas,3.4567272727273894,1.6186818181818887,51.765818181815632,9.9493636363631754,154.5769090909177,27.0605454545444,29.811363636363037,30.796363636362539,31.649590909092012,31.679272727274
2020,01,Alabama,DeKalb,1.120173913043532,0.45278260869563469,66.2527826087006,39.951913043479415,286.90904347823891,236.4241739130527,26.655999999997498,26.669478260869525,26.927043478259638,27.252391304348489
2020,01,Alabama,Elmore,1.8606521739129176,0.22304347826088003,82.318652173915041,21.537565217392387,435.09108695649707,295.70569565215976,26.332043478263511,26.39991304347847,27.216260869567044,26.987478260869064
2020,01,Alabama,Escambia,1.5816521739129672,0.11121739130434724,68.780260869562554,13.720304347825971,310.4533913043357,68.911652173912159,42.833608695649367,42.978130434778386,44.362391304346289,44.379608695649623
2020,01,Alabama,Etowah,0.48478260869562467,0.12786956521737836,74.796391304352042,16.794521739132371,420.20073913042364,185.63791304346427,26.304652173913031,26.09882608695635,26.703826086956838,26.722826086956328
