year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,number_of_measurements
2024,31001,31,Nebraska,Adams,9.6546111111111124,1.9067083333333341,125.46487499999998,80.706,390.60129166666661,381.61008333333336,36.970527777777782,36.926166666666667,37.823541666666664,37.289583333333333,576
2024,31003,31,Nebraska,Antelope,40.122055555555548,31.359685185185189,72.410444444444437,48.5015,110.52422222222222,70.075296296296273,33.935351851851841,37.98001851851852,43.719018518518524,36.8322962962963,432
2024,31007,31,Nebraska,Banner,97.993099999999984,93.404433333333316,99.2691,95.139933333333317,100.54509999999999,96.875433333333319,4.5195999999999987,5.7082333333333333,6.0576666666666652,7.7284666666666668,240
2024,31011,31,Nebraska,Boone,39.096771428571444,11.415971428571424,80.740814285714279,29.411028571428577,138.90604285714286,56.5282,33.723514285714288,33.428,40.076333333333338,39.347289855072461,560
2024,31013,31,Nebraska,Box Butte,57.049069444444442,33.259805555555559,242.09212499999998,205.67006944444447,531.48699999999985,474.65651388888887,26.255638888888893,25.50651388888889,25.861847222222224,25.97206944444445,576
2024,31015,31,Nebraska,Boyd,60.31711111111111,39.612583333333333,63.186055555555562,41.780972222222225,65.858833333333337,43.949305555555561,36.124305555555551,31.741750000000003,32.869971428571432,32.88934285714285,288
2024,31017,31,Nebraska,Brown,14.588777777777779,1.5214999999999999,62.668666666666667,62.29943055555556,110.54698611111112,106.2457222222222,34.48961111111111,34.4373888888889,36.487107142857141,36.612172413793104,576
2024,31019,31,Nebraska,Buffalo,3.6572361111111107,0.60430555555555554,148.5840833333333,76.370444444444431,536.692013888889,585.26087499999994,53.690694444444446,53.724069444444439,54.513805555555543,54.54518055555554,576
2024,31021,31,Nebraska,Burt,26.864861111111111,10.561333333333334,151.55966666666669,60.634388888888893,431.93401388888896,202.23058333333336,24.624194444444445,24.659708333333334,25.223458333333337,25.176791666666663,576
2024,31023,31,Nebraska,Butler,48.722028169014081,17.806676056338027,108.18595774647885,68.30232394366196,194.00718309859158,143.50446478873238,61.706492957746477,61.154028169014083,65.9756142857143,64.24341428571428,568
2024,31025,31,Nebraska,Cass,4.6911527777777771,1.1204583333333336,87.362833333333342,32.23480555555556,333.83355555555556,257.80976388888888,35.367194444444451,35.394833333333338,37.896055555555549,37.989347222222221,576
2024,31027,31,Nebraska,Cedar,51.466539682539668,24.632444444444435,91.0722380952381,52.296460317460323,139.42715873015874,90.661349206349215,28.619634920634919,28.445904761904764,28.501666666666665,28.423666666666669,504
2024,31029,31,Nebraska,Chase,86.530456521739126,63.363021739130417,122.09010869565218,88.041695652173914,163.0465,121.55684782608695,28.496673913043473,28.018282608695657,31.600043478260876,32.572152173913032,368
2024,31031,31,Nebraska,Cherry,42.465958333333333,8.9984305555555562,134.37324999999998,69.666944444444439,277.62811111111114,156.644375,32.585847222222228,32.564819444444446,33.533458333333328,33.82801388888889,576
2024,31033,31,Nebraska,Cheyenne,19.009555555555554,3.0189861111111118,124.23651388888888,62.992541666666668,326.12095833333336,283.46706944444446,34.539541666666665,34.499708333333317,36.259,36.905513888888891,576
2024,31035,31,Nebraska,Clay,27.120615384615387,31.492984615384614,78.8266923076923,77.132984615384643,148.42901538461538,142.78973846153846,35.12050769230769,36.065999999999995,37.648030769230779,38.068907692307683,520
2024,31037,31,Nebraska,Colfax,33.292820895522389,11.816805970149257,98.704999999999984,35.198477611940305,203.23901492537311,78.6191343283582,45.100731343283584,47.190223880597024,51.00971641791044,50.361194029850743,536
2024,31039,31,Nebraska,Cuming,43.408222222222228,6.1217222222222212,104.98172222222226,59.100055555555549,184.01531944444443,164.55808333333331,40.216791666666659,38.996111111111112,41.949361111111116,42.20934722222222,576
2024,31041,31,Nebraska,Custer,27.943916666666667,7.0824166666666679,137.70568055555557,72.562305555555554,338.81190277777779,209.20263888888888,41.911611111111107,44.309013888888892,47.033458333333328,45.855069444444439,576
