year,country,state,state_name,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled,State_Number,Population_2011,Growth_Percentage,Estimated_Population_2021,Per_Capita_NSDP,GSDP_in_Millions
2023,IN,IN-PB,Punjab,0.016507205,0.006665706,56.5948415,25.38120173,844.9931873,696.5297896,36.30188473,36.30525648,38.84685014,38.84492795,2776,3,"27,743,338",13.89,31596888,168705,"6,142,267.60"
2023,IN,IN-PY,Puducherry,0.06148415,0.012616715,40.29484438,27.7085562,360.001513,234.9631873,32.18879539,32.17279827,33.65835735,33.64758213,2776,34,"1,247,953",28.1,1598628,251344,"442,378.60"
2023,IN,IN-RJ,Rajasthan,0.012103746,0.006564841,56.8417147,20.1882219,878.9584063,668.7876628,46.42542651,46.4251585,48.5458732,48.54414121,2776,8,"68,548,437",21.3,83149254,135962,"12,181,934.50"
2023,IN,IN-SK,Sikkim,0.163331412,0.024544669,46.17761095,18.88042939,285.175755,166.2695562,62.77559078,62.8055245,67.56035735,67.53329395,2776,11,"610,577",12.9,689341,463509,"375,574.00"
2023,IN,IN-TN,Tamil Nadu,0.120405172,0.023761494,63.18412356,29.32618391,1690.871261,1512.336624,28.91290517,28.91988218,29.83979885,29.83792529,2784,33,"72,147,030",15.6,83401967,242253,"20,712,861.60"
2023,IN,IN-TR,Tripura,0.09837464,0.01667147,40.12433141,19.56543228,265.7704986,175.5522795,83.77065706,83.89825937,88.08763112,88.08674063,2776,16,"3,673,917",14.8,4217657,137472,"625,504.40"
2023,IN,IN-TS,Telangana,0.011789474,0.006526316,51.16305263,29.79557895,883.3886316,1001.421737,33.45015789,33.43821053,33.55215789,33.55194737,152,36,"35,003,674",13.58,39757173,270839,"11,289,072.40"
2023,IN,IN-UK,Uttarakhand,0.022263158,0.007526316,40.17963158,25.96163158,515.6929474,609.7491053,28.55810526,28.51510526,28.16326316,28.142,152,5,"10,086,292",18.8,11982515,211657,"2,721,594.80"
2023,IN,IN-UP,Uttar Pradesh,0.049031609,0.028706897,56.74647989,20.68412931,2197.40569,1872.844537,44.02682471,44.02554885,46.07512069,46.07493103,2784,9,"199,812,341",20.2,240174434,73048,"19,745,315.50"
2023,IN,IN-WB,West Bengal,0.011270893,0.006239193,52.28408069,20.52097118,836.2461239,871.5976686,64.26412968,64.26706052,66.84985303,66.84926225,2776,19,"91,276,115",13.8,103872219,124798,"13,639,258.60"
