GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests
35001,Bernalillo County,108.20646509622244,19.91751618649428,46.2559571391087,7285.25
35003,Catron County,22.10676446529532,5.315183297245278,71.16616293756766,79.5
35005,Chaves County,37.71438182437565,11.992763345517062,63.67725105251944,343.5
35006,Cibola County,30.1766396552418,7.598452463554285,74.17624515800205,309.25
35007,Colfax County,27.733077567941983,11.980282209286809,65.97321383600806,203.0
35009,Curry County,41.20483187060474,18.64263845974764,69.28134356901599,351.5
35011,De Baca County,62.16496601731602,13.287264935064936,63.044372294372295,25.0
35013,Doña Ana County,41.47001930991458,12.47990956254893,65.25073683036516,1516.5
35015,Eddy County,30.347203176581573,11.136425872149836,82.36774155182411,640.0
35017,Grant County,22.41965825926887,8.04361091572608,80.01077819234344,257.75
35019,Guadalupe County,61.60095856012807,13.041680940393114,70.13776493662954,158.5
35021,Harding County,166.4105832875458,43.92346634615385,37.64423076923077,14.5
35023,Hidalgo County,32.40368997898295,9.918539262862323,124.62012673326919,157.0
35025,Lea County,30.013345693680723,11.81375591523283,76.44166673920195,584.0
35027,Lincoln County,34.21861467607808,9.951071298862768,74.44399209778554,268.0
35028,Los Alamos County,40.745387172292496,12.187777114772253,73.66121069582168,179.0
35029,Luna County,21.970997259049476,7.040469579280112,72.63365807005079,426.75
35031,McKinley County,24.671788275725184,7.79911265309164,73.80091622919147,1069.25
35033,Mora County,25.515684585684582,7.734853869302399,85.40621123709359,27.75
35035,Otero County,37.806933370206764,10.677410802825749,68.89537261335788,649.25
35037,Quay County,51.17376214785682,12.895119847020418,73.58710322086893,261.5
35039,Rio Arriba County,20.34801207190788,7.455615471294938,93.72212354407448,525.75
35041,Roosevelt County,36.394759423156486,12.111948212500927,66.12520890150807,114.0
35043,Sandoval County,71.05137259458738,15.854664737420482,52.27586716800675,1579.25
35045,San Juan County,34.78900235195673,9.970880081722067,81.36352047007799,1156.25
35047,San Miguel County,39.89501331874523,12.098573358210576,57.151648604246354,248.0
35049,Santa Fe County,52.17394252942069,12.734926898494576,60.70938288056646,1856.0
35051,Sierra County,37.459191677406196,11.676124468452787,74.10460015481078,177.25
35053,Socorro County,23.61774567411392,9.242988176067195,79.48807570829409,418.75
35055,Taos County,22.334393754208115,7.391434552331239,84.54338082936722,262.25
35057,Torrance County,40.986456424412836,14.239574732472056,49.95075847745588,576.5
35059,Union County,90.01992274238654,18.511114226561546,48.68212628188981,91.25
35061,Valencia County,63.48132402322756,15.598544757856583,46.03479630117108,540.25
