year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,number_of_measurements
2020,50001,50,Vermont,Addison,0.9331010928961746,0.18281420765027315,31.802532786885148,11.453169398907084,183.93609836065571,100.30711475409846,35.507251366120244,35.617721311475336,36.43225136612012,36.2853961748633,2928
2020,50003,50,Vermont,Bennington,1.7410710382513641,0.41602732240437151,109.1057841530053,13.506617486338817,493.64568032786838,116.05767486338804,26.069915300546423,26.15791256830607,26.817106557377024,26.674275956284166,2928
2020,50005,50,Vermont,Caledonia,1.0823452054794502,0.25641643835616407,36.614838356164412,10.648764383561639,178.4175753424654,76.260863013698639,46.688580821917824,46.87548493150679,47.317898630136959,47.373175342465757,2920
2020,50007,50,Vermont,Chittenden,0.14643442622950797,0.056816939890710336,93.677997267759508,24.239483606557393,681.97336338797857,558.24864754098382,27.948027322404428,27.929191256830642,28.29435792349722,28.279587431694015,2928
2020,50009,50,Vermont,Essex,15.014431952662719,5.7255739644970474,21.03252071005921,8.5996923076923011,29.246242603550318,12.377603550295865,46.55459171597635,55.048088757396435,48.25557988165685,46.92820710059172,1352
2020,50011,50,Vermont,Franklin,0.34760382513661214,0.090499999999999955,43.364215846994391,5.7219672131147492,375.791153005464,62.07536338797825,35.382849726775937,35.376532786885278,36.407939890710423,36.327710382513736,2928
2020,50013,50,Vermont,Grand Isle,36.010165562913926,8.0294304635761584,52.339735099337787,10.485999999999992,72.511251655629039,13.628841059602637,42.755980132450347,44.043443708609267,51.109158940397435,48.593516556291434,1208
2020,50015,50,Vermont,Lamoille,0.25519398907103907,0.092500000000000179,23.236816939890694,5.7833961748633937,232.81253278688487,83.535625683060331,34.371483606557277,34.341174863387813,35.919573770491809,35.844915300546425,2928
2020,50017,50,Vermont,Orange,2.4597103825136659,0.97384153005464646,49.888341530054717,37.003497267759535,229.37632513661228,192.04365846994526,26.323991803278695,26.172633879781394,26.784765027322376,26.765795081967216,2928
2020,50019,50,Vermont,Orleans,3.48542076502733,0.58664754098360594,73.641136612021938,10.034546448087431,299.86055464480938,50.493628415300535,33.178131147540995,33.192685792349714,34.244718579234949,33.830827868852424,2928
2020,50021,50,Vermont,Rutland,1.0179672131147564,0.36050546448087439,89.665849726776045,26.725989071038228,478.83116666666638,312.6433333333332,27.424527322404316,27.391095628415311,28.054549180327879,28.093524590163906,2928
2020,50023,50,Vermont,Washington,0.23149180327868868,0.068830601092896057,44.117180327868887,8.6496393442623063,363.09066939890789,159.45281693989105,38.293193989070915,38.368942622950868,39.122879781420728,39.109366120218638,2928
2020,50025,50,Vermont,Windham,0.2646393442622948,0.084792349726775781,48.708316939890764,13.182825136612006,433.26637158469919,222.85328415300538,27.512357923497223,27.505674863387942,27.900183060109246,27.891016393442609,2928
2020,50027,50,Vermont,Windsor,0.80866393442623,0.27637158469945389,106.21461202185787,79.166923497267945,674.49868032786912,549.94389071038222,23.771112021857927,23.812494535519065,23.84167759562839,23.796363387978118,2928
