year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,number_of_measurements
2020,22001,22,Louisiana,Acadia,1.5041038251366086,0.33118852459016418,72.68649453551906,12.936489071038256,335.47296721311523,67.287322404371508,33.133475409836123,33.076232240437179,34.700950819672116,34.614857923497354,2928
2020,22003,22,Louisiana,Allen,5.6515614525139819,1.6785754189944122,36.611385474860235,9.4300921787709537,110.34303631284928,39.162726256983227,49.279999999999966,49.283446927374456,52.408363128491622,52.418002793296168,2864
2020,22005,22,Louisiana,Ascension,0.39618579234972751,0.10816120218579231,108.57267213114751,65.681420765027283,651.13754918032828,535.37803278688443,26.541505464480867,26.50937431693988,27.168270491803252,27.172997267759577,2928
2020,22007,22,Louisiana,Assumption,19.573603225806451,3.6314032258064497,43.499338709677495,9.6370548387096786,81.5737129032258,20.105554838709711,39.797054838709663,39.896541935483882,40.264138709677461,38.859658064516189,2480
2020,22009,22,Louisiana,Avoyelles,2.5436895604395535,0.65369505494505453,20.568928571428561,10.164664835164825,75.867538461538587,54.635593406593451,42.481576923076872,42.586381868131788,46.0981373626373,46.063527472527468,2912
2020,22011,22,Louisiana,Beauregard,1.8709863013698635,0.29533972602739722,63.547860273972589,12.626243835616439,294.78734794520557,63.619843835616322,41.294632876712321,41.22912602739725,43.335230136986183,43.451082191780877,2920
2020,22013,22,Louisiana,Bienville,11.697289962825284,7.4574646840148588,22.546308550185881,14.352918215613368,45.54825650557617,29.881003717472115,62.333654275092805,61.682587360594994,62.060988847583552,62.951970260223149,2152
2020,22015,22,Louisiana,Bossier,0.37749180327868953,0.081592896174863414,115.44774316939912,34.825617486338807,624.99484426229651,370.50849999999951,24.964136612021861,24.975226775956312,26.5711174863388,26.573775956284145,2928
2020,22017,22,Louisiana,Caddo,0.20207650273224023,0.060024590163934487,86.849557377049152,24.702295081967222,592.11895628415175,394.95059289617552,33.472562841530134,33.460153005464591,34.302251366120196,34.28961202185797,2928
2020,22019,22,Louisiana,Calcasieu,0.31596994535519163,0.075188524590164021,89.62257650273213,33.085811475409926,582.868765027322,371.14771584699395,26.859918032786872,26.864601092896173,28.741199453551964,28.706565573770447,2928
2020,22021,22,Louisiana,Caldwell,27.17616546762596,4.7114604316546851,57.129996402877723,12.966449640287772,98.311039568345336,27.421683453237438,33.1267122302158,32.860719424460513,39.041471223021695,38.685651079136768,2224
2020,22023,22,Louisiana,Cameron,38.125274647887295,29.248626760563393,49.648971830985936,37.2042746478873,62.979042253521079,46.44978873239441,38.759394366197178,40.007901408450714,43.000676056338065,43.600063380281696,1136
2020,22025,22,Louisiana,Catahoula,14.720923529411779,2.8907411764705877,21.613735294117625,6.38916470588235,31.443658823529354,11.483605882352943,51.660841176470605,51.609841176470646,52.1189411764706,52.42145294117654,1360
2020,22027,22,Louisiana,Claiborne,19.020463768115942,7.2185144927536262,32.615326086956486,13.976942028985507,57.0747101449276,27.230065217391306,39.398170289855123,39.170999999999886,39.100347826086995,39.367891304347751,2208
2020,22029,22,Louisiana,Concordia,6.2630151515151509,0.96678484848484714,17.105963636363676,5.0644454545454449,36.219848484848484,13.361342424242423,58.421148484848537,62.437054545454558,65.0846303030305,59.396499999999911,2640
2020,22031,22,Louisiana,De Soto,9.2496527777777757,2.2144861111111118,48.986563888888867,15.779197222222235,121.47435833333333,43.008297222222154,31.218913888888864,30.847333333333275,32.227919444444417,32.409972222222208,2880
2020,22033,22,Louisiana,East Baton Rouge,0.096461748633879615,0.017461748633879805,106.28559562841524,29.05059289617483,873.06988797814256,624.11171584699423,25.180286885245902,25.1794480874317,26.205139344262307,26.202311475409836,2928
2020,22035,22,Louisiana,East Carroll,24.976624505928893,8.4114426877470247,43.71250988142291,13.046739130434766,67.2107430830041,20.241225296442718,36.447652173913049,35.652608695652063,36.388509881422912,37.946173913043445,2024
2020,22037,22,Louisiana,East Feliciana,12.192046783625729,1.8235467836257333,34.236000000000026,8.60472514619883,76.624646198830547,29.664438596491237,50.155225146198859,49.860266081871238,49.634172514619877,50.430883040935655,2736
2020,22039,22,Louisiana,Evangeline,0.2685,0.09437431693989079,12.655355191256845,4.1223688524590054,84.410289617486455,58.286153005464406,65.55064754098359,65.764724043715859,66.416270491803289,66.701754098360624,2928
2020,22041,22,Louisiana,Franklin,3.832628491620095,1.3244553072625704,29.8820670391061,10.826946927374314,83.560824022346452,33.411120111731783,45.530974860335213,45.037824022346392,49.98447486033519,48.645821229050277,2864
2020,22043,22,Louisiana,Grant,9.1052752293577726,7.0055749235473925,37.003880733944889,26.376816513761462,93.401327217125342,68.671455657492388,48.055730886850043,48.292633027522882,48.839058103975482,49.154737003058081,2616
2020,22045,22,Louisiana,Iberia,0.83930874316939752,0.13171584699453526,65.692371584699458,10.915543715847004,338.6703333333333,96.442060109289457,31.574666666666616,31.624284153005426,31.513278688524604,31.601713114754116,2928
2020,22047,22,Louisiana,Iberville,4.7832349726776,0.73086885245901678,84.564797814207367,10.396524590163931,307.870945355192,43.010030054644773,32.778174863387989,32.65807650273215,34.142625683060025,34.044071038251424,2928
2020,22049,22,Louisiana,Jackson,8.4600877192982367,6.637802631578956,19.352881578947358,10.933114035087716,45.717925438596531,24.85246052631576,66.597846491228267,66.142929824561392,69.964850877193044,70.814921052631746,1824
2020,22051,22,Louisiana,Jefferson,0.089185792349726609,0.014724043715847006,83.671256830601038,27.16876775956284,672.49033879781371,602.24899726776,39.625928961748585,39.628172131147458,40.005202185792406,39.944584699453472,2928
