COUNTY NAME (SHORT),COUNTY NAME (FULL),WOODARD NATION NAME,STATE NAME
Logan,Logan County,THE MIDLANDS,Ohio
Kings,Kings County,THE FAR WEST,California
San Diego,San Diego County,EL NORTE,California
Crawford,Crawford County,DEEP SOUTH,Georgia
Cass,Cass County,THE MIDLANDS,Missouri
Dutchess,Dutchess County,YANKEEDOM,New York
Washington,Washington County,DEEP SOUTH,Texas
Pueblo,Pueblo County,EL NORTE,Colorado
Douglas,Douglas County,GREATER APPALACHIA,Missouri
Bottineau,Bottineau County,THE FAR WEST,North Dakota
Cumberland,Cumberland County,DEEP SOUTH,North Carolina
Hot Springs,Hot Springs County,THE FAR WEST,Wyoming
Alcona,Alcona County,YANKEEDOM,Michigan
Placer,Placer County,THE FAR WEST,California
Searcy,Searcy County,GREATER APPALACHIA,Arkansas
Lynn,Lynn County,GREATER APPALACHIA,Texas
Otsego,Otsego County,YANKEEDOM,New York
Richmond,Richmond County,DEEP SOUTH,North Carolina
Hoke,Hoke County,DEEP SOUTH,North Carolina
Otoe,Otoe County,THE MIDLANDS,Nebraska
Cameron,Cameron County,THE MIDLANDS,Pennsylvania
Dorchester,Dorchester County,DEEP SOUTH,South Carolina
Waseca,Waseca County,YANKEEDOM,Minnesota
Brule,Brule County,THE MIDLANDS,South Dakota
Warren,Warren County,GREATER APPALACHIA,Tennessee
Clark,Clark County,GREATER APPALACHIA,Illinois
Robertson,Robertson County,GREATER APPALACHIA,Kentucky
Lake,Lake County,DEEP SOUTH,Tennessee
Berkeley,Berkeley County,DEEP SOUTH,South Carolina
Garland,Garland County,GREATER APPALACHIA,Arkansas
Osage,Osage County,THE MIDLANDS,Kansas
Trumbull,Trumbull County,YANKEEDOM,Ohio
Mills,Mills County,GREATER APPALACHIA,Texas
Oldham,Oldham County,GREATER APPALACHIA,Texas
Butler,Butler County,THE MIDLANDS,Pennsylvania
Idaho,Idaho County,THE FAR WEST,Idaho
Marion,Marion County,THE MIDLANDS,Kansas
Buckingham,Buckingham County,TIDEWATER,Virginia
Cabarrus,Cabarrus County,GREATER APPALACHIA,North Carolina
Webster,Webster County,GREATER APPALACHIA,Missouri
Davis,Davis County,THE FAR WEST,Utah
Cottonwood,Cottonwood County,YANKEEDOM,Minnesota
Okeechobee,Okeechobee County,DEEP SOUTH,Florida
Union,Union County,GREATER APPALACHIA,Georgia
Black Hawk,Black Hawk County,THE MIDLANDS,Iowa
Sabine,Sabine County,DEEP SOUTH,Texas
Pike,Pike County,GREATER APPALACHIA,Ohio
Tuscaloosa,Tuscaloosa County,DEEP SOUTH,Alabama
Wilcox,Wilcox County,DEEP SOUTH,Alabama
Montgomery,Montgomery County,DEEP SOUTH,Mississippi
Kearney,Kearney County,THE MIDLANDS,Nebraska
Hitchcock,Hitchcock County,THE FAR WEST,Nebraska
New Castle,New Castle County,THE MIDLANDS,Delaware
Teton,Teton County,THE FAR WEST,Idaho
Rock Island,Rock Island County,THE MIDLANDS,Illinois
Gloucester,Gloucester County,TIDEWATER,Virginia
Sevier,Sevier County,GREATER APPALACHIA,Arkansas
Cass,Cass County,THE MIDLANDS,Indiana
Power,Power County,THE FAR WEST,Idaho
Carroll,Carroll County,THE MIDLANDS,Indiana
Philadelphia,Philadelphia County,THE MIDLANDS,Pennsylvania
Washakie,Washakie County,THE FAR WEST,Wyoming
Camden,Camden County,TIDEWATER,North Carolina
Tompkins,Tompkins County,YANKEEDOM,New York
Jefferson,Jefferson County,DEEP SOUTH,Arkansas
Lincoln,Lincoln County,DEEP SOUTH,Arkansas
Vernon,Vernon County,YANKEEDOM,Wisconsin
Iron,Iron County,GREATER APPALACHIA,Missouri
Hopkins,Hopkins County,GREATER APPALACHIA,Texas
Albany,Albany County,YANKEEDOM,New York
Houston,Houston County,DEEP SOUTH,Texas
Monroe,Monroe County,GREATER APPALACHIA,Ohio
Rush,Rush County,THE FAR WEST,Kansas
Montgomery,Montgomery County,GREATER APPALACHIA,Indiana
Stanton,Stanton County,THE FAR WEST,Kansas
Lee,Lee County,GREATER APPALACHIA,Kentucky
Koochiching,Koochiching County,YANKEEDOM,Minnesota
Bexar,Bexar County,EL NORTE,Texas
Boulder,Boulder County,THE FAR WEST,Colorado
Jefferson,Jefferson County,GREATER APPALACHIA,Tennessee
Mayes,Mayes County,GREATER APPALACHIA,Oklahoma
Watonwan,Watonwan County,YANKEEDOM,Minnesota
Blaine,Blaine County,THE FAR WEST,Idaho
Jefferson Davis,Jefferson Davis Parish,NEW FRANCE,Louisiana
Sully,Sully County,THE FAR WEST,South Dakota
Denver,Denver County,THE FAR WEST,Colorado
Coal,Coal County,GREATER APPALACHIA,Oklahoma
Carter,Carter County,THE FAR WEST,Montana
Upton,Upton County,GREATER APPALACHIA,Texas
Gibson,Gibson County,GREATER APPALACHIA,Indiana
Kimball,Kimball County,THE FAR WEST,Nebraska
Kendall,Kendall County,THE MIDLANDS,Illinois
District of Columbia,District of Columbia,TIDEWATER,District of Columbia
Montrose,Montrose County,THE FAR WEST,Colorado
Wright,Wright County,YANKEEDOM,Minnesota
Kenosha,Kenosha County,YANKEEDOM,Wisconsin
Eagle,Eagle County,THE FAR WEST,Colorado
San Francisco,San Francisco County,THE LEFT COAST,California
San Miguel,San Miguel County,THE FAR WEST,Colorado
St. Johns,St. Johns County,DEEP SOUTH,Florida
Choctaw,Choctaw County,DEEP SOUTH,Mississippi
Grundy,Grundy County,THE MIDLANDS,Missouri
Lake,Lake County,YANKEEDOM,Michigan
Ottawa,Ottawa County,YANKEEDOM,Michigan
Cook,Cook County,YANKEEDOM,Illinois
Gallatin,Gallatin County,GREATER APPALACHIA,Illinois
Greenwood,Greenwood County,DEEP SOUTH,South Carolina
Franklin,Franklin County,THE MIDLANDS,Kansas
Clay,Clay County,YANKEEDOM,Minnesota
Haywood,Haywood County,DEEP SOUTH,Tennessee
Box Elder,Box Elder County,THE FAR WEST,Utah
Tippah,Tippah County,GREATER APPALACHIA,Mississippi
Marshall,Marshall County,GREATER APPALACHIA,West Virginia
Jackson,Jackson County,GREATER APPALACHIA,West Virginia
Elmore,Elmore County,THE FAR WEST,Idaho
Baltimore,Baltimore County,THE MIDLANDS,Maryland
Benson,Benson County,THE MIDLANDS,North Dakota
Pike,Pike County,GREATER APPALACHIA,Missouri
Lawrence,Lawrence County,GREATER APPALACHIA,Ohio
Scott,Scott County,GREATER APPALACHIA,Missouri
Adams,Adams County,GREATER APPALACHIA,Ohio
Erath,Erath County,GREATER APPALACHIA,Texas
Habersham,Habersham County,GREATER APPALACHIA,Georgia
Wilkinson,Wilkinson County,DEEP SOUTH,Georgia
Monongalia,Monongalia County,GREATER APPALACHIA,West Virginia
Crawford,Crawford County,THE MIDLANDS,Ohio
DeSoto,DeSoto County,DEEP SOUTH,Florida
New London,New London County,YANKEEDOM,Connecticut
Guernsey,Guernsey County,THE MIDLANDS,Ohio
Barry,Barry County,YANKEEDOM,Michigan
Stone,Stone County,GREATER APPALACHIA,Missouri
Richmond,Richmond city,TIDEWATER,Virginia
Stokes,Stokes County,GREATER APPALACHIA,North Carolina
Clarke,Clarke County,THE MIDLANDS,Iowa
Fayette,Fayette County,THE MIDLANDS,Iowa
Marin,Marin County,THE LEFT COAST,California
Randall,Randall County,GREATER APPALACHIA,Texas
Rusk,Rusk County,DEEP SOUTH,Texas
Warren,Warren County,THE MIDLANDS,Iowa
Van Wert,Van Wert County,THE MIDLANDS,Ohio
Glades,Glades County,DEEP SOUTH,Florida
Meriwether,Meriwether County,DEEP SOUTH,Georgia
Costilla,Costilla County,EL NORTE,Colorado
Coryell,Coryell County,GREATER APPALACHIA,Texas
Adair,Adair County,THE MIDLANDS,Iowa
Chattahoochee,Chattahoochee County,DEEP SOUTH,Georgia
Mariposa,Mariposa County,THE FAR WEST,California
Howard,Howard County,THE MIDLANDS,Missouri
Marion,Marion County,THE LEFT COAST,Oregon
Milwaukee,Milwaukee County,YANKEEDOM,Wisconsin
Scott,Scott County,YANKEEDOM,Minnesota
Pickaway,Pickaway County,GREATER APPALACHIA,Ohio
Powhatan,Powhatan County,TIDEWATER,Virginia
Broomfield,Broomfield County,THE FAR WEST,Colorado
Lawrence,Lawrence County,GREATER APPALACHIA,Tennessee
Antrim,Antrim County,YANKEEDOM,Michigan
Marlboro,Marlboro County,DEEP SOUTH,South Carolina
Benewah,Benewah County,THE FAR WEST,Idaho
Lee,Lee County,YANKEEDOM,Illinois
Nemaha,Nemaha County,THE MIDLANDS,Nebraska
Carteret,Carteret County,TIDEWATER,North Carolina
Pottawatomie,Pottawatomie County,THE MIDLANDS,Kansas
Jackson,Jackson County,YANKEEDOM,Michigan
Comal,Comal County,GREATER APPALACHIA,Texas
Nantucket,Nantucket County,YANKEEDOM,Massachusetts
Bamberg,Bamberg County,DEEP SOUTH,South Carolina
Aransas,Aransas County,EL NORTE,Texas
Berrien,Berrien County,DEEP SOUTH,Georgia
Vermillion,Vermillion County,GREATER APPALACHIA,Indiana
Roscommon,Roscommon County,YANKEEDOM,Michigan
Alleghany,Alleghany County,GREATER APPALACHIA,North Carolina
Lassen,Lassen County,THE FAR WEST,California
Falls Church,Falls Church city,TIDEWATER,Virginia
Manatee,Manatee County,DEEP SOUTH,Florida
Muskingum,Muskingum County,THE MIDLANDS,Ohio
Chaffee,Chaffee County,THE FAR WEST,Colorado
Crowley,Crowley County,THE FAR WEST,Colorado
Fremont,Fremont County,THE FAR WEST,Colorado
Pearl River,Pearl River County,DEEP SOUTH,Mississippi
Perry,Perry County,DEEP SOUTH,Mississippi
Custer,Custer County,THE FAR WEST,Nebraska
Calhoun,Calhoun County,DEEP SOUTH,Florida
Kenton,Kenton County,GREATER APPALACHIA,Kentucky
Chickasaw,Chickasaw County,THE MIDLANDS,Iowa
DeKalb,DeKalb County,YANKEEDOM,Illinois
Hancock,Hancock County,THE MIDLANDS,Iowa
Stark,Stark County,THE FAR WEST,North Dakota
Luce,Luce County,YANKEEDOM,Michigan
Carter,Carter County,GREATER APPALACHIA,Oklahoma
Pasquotank,Pasquotank County,TIDEWATER,North Carolina
Taos,Taos County,EL NORTE,New Mexico
Bolivar,Bolivar County,DEEP SOUTH,Mississippi
Nye,Nye County,THE FAR WEST,Nevada
Hawkins,Hawkins County,GREATER APPALACHIA,Tennessee
Bowman,Bowman County,THE FAR WEST,North Dakota
Fulton,Fulton County,GREATER APPALACHIA,Pennsylvania
Lafayette,Lafayette Parish,NEW FRANCE,Louisiana
Jack,Jack County,GREATER APPALACHIA,Texas
Stark,Stark County,THE MIDLANDS,Illinois
Greer,Greer County,GREATER APPALACHIA,Oklahoma
Hemphill,Hemphill County,THE MIDLANDS,Texas
Nez Perce,Nez Perce County,THE FAR WEST,Idaho
Walworth,Walworth County,THE FAR WEST,South Dakota
Napa,Napa County,THE LEFT COAST,California
Cotton,Cotton County,GREATER APPALACHIA,Oklahoma
Washington,Washington County,GREATER APPALACHIA,Missouri
Cayuga,Cayuga County,YANKEEDOM,New York
Shackelford,Shackelford County,GREATER APPALACHIA,Texas
San Jacinto,San Jacinto County,DEEP SOUTH,Texas
Dubuque,Dubuque County,YANKEEDOM,Iowa
Goochland,Goochland County,TIDEWATER,Virginia
Sherman,Sherman County,THE FAR WEST,Kansas
Richland,Richland County,THE MIDLANDS,Ohio
Adams,Adams County,GREATER APPALACHIA,Illinois
Champaign,Champaign County,THE MIDLANDS,Ohio
Sullivan,Sullivan County,YANKEEDOM,New Hampshire
Iroquois,Iroquois County,THE MIDLANDS,Illinois
Poweshiek,Poweshiek County,THE MIDLANDS,Iowa
Wayne,Wayne County,THE MIDLANDS,Ohio
Fayette,Fayette County,DEEP SOUTH,Georgia
Hancock,Hancock County,DEEP SOUTH,Georgia
Kendall,Kendall County,GREATER APPALACHIA,Texas
Greene,Greene County,YANKEEDOM,New York
Orange,Orange County,TIDEWATER,Virginia
McCurtain,McCurtain County,GREATER APPALACHIA,Oklahoma
Tift,Tift County,DEEP SOUTH,Georgia
Cass,Cass County,THE MIDLANDS,Nebraska
Kingsbury,Kingsbury County,THE MIDLANDS,South Dakota
Converse,Converse County,THE FAR WEST,Wyoming
Herkimer,Herkimer County,YANKEEDOM,New York
Logan,Logan County,THE MIDLANDS,North Dakota
Gogebic,Gogebic County,YANKEEDOM,Michigan
Becker,Becker County,YANKEEDOM,Minnesota
Marshall,Marshall County,GREATER APPALACHIA,Alabama
Union,Union County,GREATER APPALACHIA,Tennessee
Mineral,Mineral County,GREATER APPALACHIA,West Virginia
Ashland,Ashland County,YANKEEDOM,Wisconsin
Ford,Ford County,THE MIDLANDS,Illinois
Emmons,Emmons County,THE FAR WEST,North Dakota
Shasta,Shasta County,THE FAR WEST,California
Vermilion,Vermilion Parish,NEW FRANCE,Louisiana
Randolph,Randolph County,GREATER APPALACHIA,Arkansas
Oneida,Oneida County,YANKEEDOM,Wisconsin
East Carroll,East Carroll Parish,DEEP SOUTH,Louisiana
East Feliciana,East Feliciana Parish,DEEP SOUTH,Louisiana
St. Bernard,St. Bernard Parish,NEW FRANCE,Louisiana
Wharton,Wharton County,DEEP SOUTH,Texas
Floyd,Floyd County,GREATER APPALACHIA,Texas
Madison,Madison County,GREATER APPALACHIA,Kentucky
Blount,Blount County,GREATER APPALACHIA,Tennessee
Gallatin,Gallatin County,THE FAR WEST,Montana
Darlington,Darlington County,DEEP SOUTH,South Carolina
Escambia,Escambia County,DEEP SOUTH,Alabama
Haralson,Haralson County,DEEP SOUTH,Georgia
Allen,Allen County,GREATER APPALACHIA,Kansas
Douglas,Douglas County,GREATER APPALACHIA,Illinois
Greene,Greene County,TIDEWATER,Virginia
Waushara,Waushara County,YANKEEDOM,Wisconsin
Izard,Izard County,GREATER APPALACHIA,Arkansas
Monterey,Monterey County,THE LEFT COAST,California
Grant,Grant County,EL NORTE,New Mexico
Miller,Miller County,GREATER APPALACHIA,Missouri
Wilkes,Wilkes County,GREATER APPALACHIA,North Carolina
Platte,Platte County,THE MIDLANDS,Missouri
Buchanan,Buchanan County,THE MIDLANDS,Missouri
Limestone,Limestone County,GREATER APPALACHIA,Alabama
Henry,Henry County,GREATER APPALACHIA,Indiana
Polk,Polk County,THE MIDLANDS,Nebraska
Ottawa,Ottawa County,THE MIDLANDS,Ohio
Norman,Norman County,YANKEEDOM,Minnesota
Shelby,Shelby County,THE MIDLANDS,Iowa
Carroll,Carroll County,THE MIDLANDS,Maryland
Benton,Benton County,THE MIDLANDS,Iowa
Martin,Martin County,GREATER APPALACHIA,Kentucky
Chisago,Chisago County,YANKEEDOM,Minnesota
Owsley,Owsley County,GREATER APPALACHIA,Kentucky
Bradford,Bradford County,YANKEEDOM,Pennsylvania
Hancock,Hancock County,THE MIDLANDS,West Virginia
Cole,Cole County,THE MIDLANDS,Missouri
Berrien,Berrien County,YANKEEDOM,Michigan
Huntingdon,Huntingdon County,GREATER APPALACHIA,Pennsylvania
Dawes,Dawes County,THE FAR WEST,Nebraska
Patrick,Patrick County,GREATER APPALACHIA,Virginia
Montmorency,Montmorency County,YANKEEDOM,Michigan
Oscoda,Oscoda County,YANKEEDOM,Michigan
Colfax,Colfax County,EL NORTE,New Mexico
St. Clair,St. Clair County,GREATER APPALACHIA,Illinois
Washington,Washington County,GREATER APPALACHIA,Illinois
Bedford,Bedford County,GREATER APPALACHIA,Pennsylvania
Scott,Scott County,GREATER APPALACHIA,Arkansas
Labette,Labette County,GREATER APPALACHIA,Kansas
Lawrence,Lawrence County,THE MIDLANDS,Pennsylvania
Harrison,Harrison County,THE MIDLANDS,Ohio
Alexander,Alexander County,GREATER APPALACHIA,North Carolina
Cape May,Cape May County,THE MIDLANDS,New Jersey
Cheshire,Cheshire County,YANKEEDOM,New Hampshire
Marshall,Marshall County,YANKEEDOM,Minnesota
King William,King William County,TIDEWATER,Virginia
Huerfano,Huerfano County,THE FAR WEST,Colorado
Karnes,Karnes County,EL NORTE,Texas
Chester,Chester County,GREATER APPALACHIA,Tennessee
Scott,Scott County,GREATER APPALACHIA,Illinois
Millard,Millard County,THE FAR WEST,Utah
Morgan,Morgan County,THE FAR WEST,Utah
Kaufman,Kaufman County,GREATER APPALACHIA,Texas
Greenlee,Greenlee County,EL NORTE,Arizona
Maricopa,Maricopa County,EL NORTE,Arizona
Ogemaw,Ogemaw County,YANKEEDOM,Michigan
Jackson,Jackson County,GREATER APPALACHIA,Tennessee
Richland,Richland County,GREATER APPALACHIA,Illinois
Blount,Blount County,GREATER APPALACHIA,Alabama
Liberty,Liberty County,THE FAR WEST,Montana
Duval,Duval County,EL NORTE,Texas
Ralls,Ralls County,GREATER APPALACHIA,Missouri
Johnson,Johnson County,GREATER APPALACHIA,Texas
Clay,Clay County,DEEP SOUTH,Georgia
Grant,Grant County,THE FAR WEST,Oregon
Coos,Coos County,THE LEFT COAST,Oregon
Franklin,Franklin County,GREATER APPALACHIA,Texas
Warren,Warren County,YANKEEDOM,New York
Madison,Madison County,TIDEWATER,Virginia
Atoka,Atoka County,GREATER APPALACHIA,Oklahoma
Menard,Menard County,GREATER APPALACHIA,Illinois
Bartow,Bartow County,GREATER APPALACHIA,Georgia
Lake,Lake County,DEEP SOUTH,Florida
Okmulgee,Okmulgee County,GREATER APPALACHIA,Oklahoma
Sheridan,Sheridan County,THE FAR WEST,North Dakota
Fulton,Fulton County,THE MIDLANDS,Indiana
Johnson,Johnson County,THE MIDLANDS,Kansas
Calvert,Calvert County,TIDEWATER,Maryland
Washburn,Washburn County,YANKEEDOM,Wisconsin
Jefferson,Jefferson County,THE LEFT COAST,Washington
Winona,Winona County,YANKEEDOM,Minnesota
Warren,Warren County,DEEP SOUTH,Mississippi
Andrew,Andrew County,THE MIDLANDS,Missouri
Montgomery,Montgomery County,THE MIDLANDS,Missouri
Cherokee,Cherokee County,GREATER APPALACHIA,Kansas
Halifax,Halifax County,TIDEWATER,North Carolina
Sandoval,Sandoval County,THE FAR WEST,New Mexico
Clay,Clay County,GREATER APPALACHIA,Kentucky
Clinton,Clinton County,THE MIDLANDS,Pennsylvania
Linn,Linn County,THE LEFT COAST,Oregon
Lafayette,Lafayette County,YANKEEDOM,Wisconsin
Washington,Washington County,GREATER APPALACHIA,Oklahoma
Preston,Preston County,GREATER APPALACHIA,West Virginia
Waupaca,Waupaca County,YANKEEDOM,Wisconsin
Edwards,Edwards County,EL NORTE,Texas
Lake,Lake County,THE FAR WEST,Oregon
Ozark,Ozark County,GREATER APPALACHIA,Missouri
Waller,Waller County,DEEP SOUTH,Texas
Monroe,Monroe County,DEEP SOUTH,Alabama
Essex,Essex County,YANKEEDOM,Vermont
Lunenburg,Lunenburg County,TIDEWATER,Virginia
Traill,Traill County,YANKEEDOM,North Dakota
Hall,Hall County,GREATER APPALACHIA,Georgia
Treutlen,Treutlen County,DEEP SOUTH,Georgia
Calhoun,Calhoun County,DEEP SOUTH,Georgia
Vilas,Vilas County,YANKEEDOM,Wisconsin
Beltrami,Beltrami County,YANKEEDOM,Minnesota
Dorchester,Dorchester County,TIDEWATER,Maryland
Columbia,Columbia County,THE MIDLANDS,Pennsylvania
Clark,Clark County,THE MIDLANDS,Ohio
Maverick,Maverick County,EL NORTE,Texas
Pima,Pima County,EL NORTE,Arizona
Cibola,Cibola County,THE FAR WEST,New Mexico
Burlington,Burlington County,THE MIDLANDS,New Jersey
Rutland,Rutland County,YANKEEDOM,Vermont
Early,Early County,DEEP SOUTH,Georgia
Dukes,Dukes County,YANKEEDOM,Massachusetts
McHenry,McHenry County,THE FAR WEST,North Dakota
Wayne,Wayne County,THE MIDLANDS,Nebraska
LaMoure,LaMoure County,THE MIDLANDS,North Dakota
Butte,Butte County,THE FAR WEST,Idaho
Coos,Coos County,YANKEEDOM,New Hampshire
Kidder,Kidder County,THE MIDLANDS,North Dakota
Kleberg,Kleberg County,EL NORTE,Texas
Porter,Porter County,YANKEEDOM,Indiana
Newton,Newton County,DEEP SOUTH,Mississippi
Sampson,Sampson County,DEEP SOUTH,North Carolina
Moore,Moore County,GREATER APPALACHIA,Tennessee
Pinellas,Pinellas County,DEEP SOUTH,Florida
Hamilton,Hamilton County,GREATER APPALACHIA,Illinois
Perry,Perry County,GREATER APPALACHIA,Arkansas
Cheyenne,Cheyenne County,THE FAR WEST,Kansas
Delta,Delta County,THE FAR WEST,Colorado
Wayne,Wayne County,THE MIDLANDS,Iowa
Gaines,Gaines County,GREATER APPALACHIA,Texas
Marion,Marion County,GREATER APPALACHIA,Alabama
Watauga,Watauga County,GREATER APPALACHIA,North Carolina
Roanoke,Roanoke city,GREATER APPALACHIA,Virginia
Martin,Martin County,GREATER APPALACHIA,Texas
Bowie,Bowie County,DEEP SOUTH,Texas
Weber,Weber County,THE FAR WEST,Utah
Marion,Marion County,GREATER APPALACHIA,Missouri
Jefferson,Jefferson County,YANKEEDOM,New York
Jackson,Jackson County,YANKEEDOM,Iowa
Nelson,Nelson County,YANKEEDOM,North Dakota
Clinton,Clinton County,YANKEEDOM,New York
Garfield,Garfield County,THE FAR WEST,Colorado
Ray,Ray County,THE MIDLANDS,Missouri
Hocking,Hocking County,GREATER APPALACHIA,Ohio
Lowndes,Lowndes County,DEEP SOUTH,Alabama
Candler,Candler County,DEEP SOUTH,Georgia
Linn,Linn County,THE MIDLANDS,Iowa
Trinity,Trinity County,THE FAR WEST,California
Muscogee,Muscogee County,DEEP SOUTH,Georgia
Tallahatchie,Tallahatchie County,DEEP SOUTH,Mississippi
Atchison,Atchison County,THE MIDLANDS,Kansas
Andrews,Andrews County,GREATER APPALACHIA,Texas
Miami,Miami County,THE MIDLANDS,Ohio
Potter,Potter County,GREATER APPALACHIA,Texas
Seminole,Seminole County,GREATER APPALACHIA,Oklahoma
Aiken,Aiken County,DEEP SOUTH,South Carolina
Mendocino,Mendocino County,THE LEFT COAST,California
Chesapeake,Chesapeake city,TIDEWATER,Virginia
Sweetwater,Sweetwater County,THE FAR WEST,Wyoming
Garza,Garza County,GREATER APPALACHIA,Texas
Hardy,Hardy County,GREATER APPALACHIA,West Virginia
Ozaukee,Ozaukee County,YANKEEDOM,Wisconsin
Sullivan,Sullivan County,GREATER APPALACHIA,Tennessee
Laurens,Laurens County,DEEP SOUTH,South Carolina
Crook,Crook County,THE FAR WEST,Wyoming
Sheboygan,Sheboygan County,YANKEEDOM,Wisconsin
Hampden,Hampden County,YANKEEDOM,Massachusetts
Caldwell,Caldwell County,GREATER APPALACHIA,Texas
Cloud,Cloud County,THE MIDLANDS,Kansas
Inyo,Inyo County,THE FAR WEST,California
Coosa,Coosa County,DEEP SOUTH,Alabama
Dickinson,Dickinson County,YANKEEDOM,Iowa
Harlan,Harlan County,GREATER APPALACHIA,Kentucky
Geary,Geary County,THE MIDLANDS,Kansas
Berks,Berks County,THE MIDLANDS,Pennsylvania
Carter,Carter County,GREATER APPALACHIA,Tennessee
Lyon,Lyon County,YANKEEDOM,Minnesota
Charlotte,Charlotte County,TIDEWATER,Virginia
Washington,Washington County,GREATER APPALACHIA,Tennessee
Newberry,Newberry County,DEEP SOUTH,South Carolina
Isle of Wight,Isle of Wight County,TIDEWATER,Virginia
Wheeler,Wheeler County,THE FAR WEST,Oregon
Butler,Butler County,GREATER APPALACHIA,Missouri
Iberville,Iberville Parish,DEEP SOUTH,Louisiana
Sharkey,Sharkey County,DEEP SOUTH,Mississippi
Fauquier,Fauquier County,GREATER APPALACHIA,Virginia
Radford,Radford city,GREATER APPALACHIA,Virginia
Douglas,Douglas County,THE FAR WEST,Nevada
Franklin,Franklin County,DEEP SOUTH,Florida
Greene,Greene County,GREATER APPALACHIA,Indiana
Rush,Rush County,GREATER APPALACHIA,Indiana
Washington,Washington County,YANKEEDOM,Wisconsin
Laclede,Laclede County,GREATER APPALACHIA,Missouri
Mercer,Mercer County,THE MIDLANDS,Pennsylvania
Craighead,Craighead County,DEEP SOUTH,Arkansas
Saline,Saline County,THE MIDLANDS,Missouri
White,White County,GREATER APPALACHIA,Illinois
De Witt,De Witt County,GREATER APPALACHIA,Illinois
White Pine,White Pine County,THE FAR WEST,Nevada
Goodhue,Goodhue County,YANKEEDOM,Minnesota
Swain,Swain County,GREATER APPALACHIA,North Carolina
Pasco,Pasco County,DEEP SOUTH,Florida
Sumter,Sumter County,DEEP SOUTH,Florida
Nassau,Nassau County,YANKEEDOM,New York
Steele,Steele County,YANKEEDOM,North Dakota
Vanderburgh,Vanderburgh County,GREATER APPALACHIA,Indiana
Franklin,Franklin County,GREATER APPALACHIA,Missouri
Avery,Avery County,GREATER APPALACHIA,North Carolina
Wood,Wood County,GREATER APPALACHIA,West Virginia
Bayfield,Bayfield County,YANKEEDOM,Wisconsin
Stewart,Stewart County,GREATER APPALACHIA,Tennessee
Portage,Portage County,YANKEEDOM,Wisconsin
Lexington,Lexington County,DEEP SOUTH,South Carolina
Anne Arundel,Anne Arundel County,TIDEWATER,Maryland
Fond du Lac,Fond du Lac County,YANKEEDOM,Wisconsin
Webster,Webster County,GREATER APPALACHIA,West Virginia
Kewaunee,Kewaunee County,YANKEEDOM,Wisconsin
Parmer,Parmer County,GREATER APPALACHIA,Texas
Woods,Woods County,THE MIDLANDS,Oklahoma
Elliott,Elliott County,GREATER APPALACHIA,Kentucky
Berkshire,Berkshire County,YANKEEDOM,Massachusetts
Chariton,Chariton County,THE MIDLANDS,Missouri
Rio Blanco,Rio Blanco County,THE FAR WEST,Colorado
Morgan,Morgan County,THE FAR WEST,Colorado
Malheur,Malheur County,THE FAR WEST,Oregon
Middlesex,Middlesex County,YANKEEDOM,New Jersey
Russell,Russell County,THE MIDLANDS,Kansas
Putnam,Putnam County,THE MIDLANDS,Illinois
Haakon,Haakon County,THE FAR WEST,South Dakota
Macon,Macon County,GREATER APPALACHIA,Tennessee
Cleburne,Cleburne County,GREATER APPALACHIA,Arkansas
Pike,Pike County,DEEP SOUTH,Alabama
Adams,Adams County,THE FAR WEST,Idaho
Bristol,Bristol County,YANKEEDOM,Massachusetts
Schuylkill,Schuylkill County,THE MIDLANDS,Pennsylvania
Wells,Wells County,THE MIDLANDS,North Dakota
Cleveland,Cleveland County,GREATER APPALACHIA,North Carolina
Hot Spring,Hot Spring County,GREATER APPALACHIA,Arkansas
Frederick,Frederick County,THE MIDLANDS,Maryland
Schuyler,Schuyler County,GREATER APPALACHIA,Illinois
Mono,Mono County,THE FAR WEST,California
Tuolumne,Tuolumne County,THE FAR WEST,California
Do̱a Ana,Do̱a Ana County,EL NORTE,New Mexico
Crisp,Crisp County,DEEP SOUTH,Georgia
Columbia,Columbia County,DEEP SOUTH,Arkansas
Griggs,Griggs County,YANKEEDOM,North Dakota
Solano,Solano County,THE LEFT COAST,California
Clayton,Clayton County,YANKEEDOM,Iowa
Titus,Titus County,GREATER APPALACHIA,Texas
Hampshire,Hampshire County,GREATER APPALACHIA,West Virginia
Moore,Moore County,TIDEWATER,North Carolina
Barton,Barton County,THE MIDLANDS,Kansas
Slope,Slope County,THE FAR WEST,North Dakota
Richland,Richland Parish,DEEP SOUTH,Louisiana
Garfield,Garfield County,THE MIDLANDS,Nebraska
St. Martin,St. Martin Parish,NEW FRANCE,Louisiana
Sumter,Sumter County,DEEP SOUTH,Alabama
Winston,Winston County,GREATER APPALACHIA,Alabama
Seminole,Seminole County,DEEP SOUTH,Florida
Forrest,Forrest County,DEEP SOUTH,Mississippi
Ingham,Ingham County,YANKEEDOM,Michigan
Shawnee,Shawnee County,THE MIDLANDS,Kansas
Hanson,Hanson County,THE MIDLANDS,South Dakota
Itasca,Itasca County,YANKEEDOM,Minnesota
Lincoln,Lincoln County,THE FAR WEST,Colorado
Madison,Madison County,YANKEEDOM,New York
Washington,Washington County,YANKEEDOM,New York
Johnson,Johnson County,GREATER APPALACHIA,Indiana
Terry,Terry County,GREATER APPALACHIA,Texas
