year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,number_of_measurements
2022,46003,46,South Dakota,Aurora,94.260394594594615,36.749037837837811,116.38385945945944,43.079470270270193,139.63545945945955,49.56128108108107,35.812718918918939,36.175286486486485,37.711940540540567,38.18620540540541,1480
2022,46005,46,South Dakota,Beadle,23.01817222222228,6.7646333333333217,107.75100277777769,34.802138888889061,263.08050555555513,104.0113583333334,32.438849999999988,32.394594444444479,37.739555555555491,37.247069444444406,2880
2022,46007,46,South Dakota,Bennett,53.64265989847717,66.768593908629441,66.043411167512659,85.8274873096448,81.058888324872967,107.78676649746191,20.524421319796954,21.447314720812212,31.587194968553462,30.881540880503152,1576
2022,46009,46,South Dakota,Bon Homme,25.075048327137569,19.275832713754649,40.186955390334518,31.709089219330895,59.431033457249107,48.0913903345726,36.223788104089351,35.847881040892212,16626.037378378391,16685.9228687259,2152
2022,46011,46,South Dakota,Brookings,4.4148351648351793,0.92100824175824281,108.85985989010972,25.474664835164827,464.26219230769237,168.61082967032965,24.798942307692307,24.92772802197802,34.139641873278251,34.249181818181796,2912
2022,46013,46,South Dakota,Brown,6.825408839778996,1.8375524861878494,100.49614640883983,22.162958563535923,361.89737016574577,95.715243093922624,28.392685082872958,28.293679558011057,39.598002770083106,39.9860498614958,2896
2022,46015,46,South Dakota,Brule,38.761795221843066,28.8563720136519,71.121580204778283,52.923365187713351,109.05303412969286,80.565525597269712,33.943873720136473,33.89991808873733,41.3217500000001,41.185718750000014,2344
2022,46017,46,South Dakota,Buffalo,52.967031578947335,46.9662947368421,62.831252631578913,51.345073684210568,72.533431578947386,55.340957894736839,38.477894736842117,36.79845263157889,37.230528735632213,37.561517241379342,760
2022,46019,46,South Dakota,Butte,47.510077380952353,10.633863095238061,111.06330952380955,22.806273809523788,195.53586904761889,40.967226190476154,30.833696428571439,31.03285416666662,31.408444776119378,32.255355223880606,2688
2022,46021,46,South Dakota,Campbell,63.628630630630667,39.915036036036028,80.838423423423521,52.589909909909913,103.39990090090097,69.308306306306349,35.196486486486492,33.993639639639667,41.044247619047567,41.305714285714267,888
2022,46023,46,South Dakota,Charles Mix,12.261589506172797,5.5066851851852059,29.243166666666639,17.314799382716007,54.38774074074076,36.869320987654341,61.615299382716245,60.95462962962965,102.07854777070045,110.88328980891738,2592
2022,46025,46,South Dakota,Clark,30.318983673469475,6.601159183673472,47.0096612244898,8.9113306122449156,68.23632653061226,11.681738775510201,35.937681632653081,36.024334693877613,47.624406779660966,47.400148305084741,1960
2022,46027,46,South Dakota,Clay,38.61091379310345,17.721031609195389,136.39855459770129,83.926681034482669,309.1632241379304,222.43775862068944,35.947163793103492,34.593008620689758,36.512005747126381,36.5907614942528,2784
2022,46029,46,South Dakota,Codington,11.416235457063705,2.4858919667590014,140.28224653739593,21.642847645429324,444.38702216066508,69.4700637119114,27.917839335180062,28.022759002770062,38.987536111111112,38.987261111111096,2888
2022,46031,46,South Dakota,Corson,77.01725888324863,56.817812182741044,103.59592893401009,80.683507614213141,133.01688324873089,108.19115736040618,28.724609137055818,28.812375634517728,30.440484536082476,35.809659793814411,1576
2022,46033,46,South Dakota,Custer,5.944311239193083,3.0169711815561984,45.9434409221902,32.812933717579277,135.07539481268023,103.44991930835721,30.4940028818444,30.493167146974056,38.679242074927913,38.400077809798354,2776
2022,46035,46,South Dakota,Davison,17.75680833333335,6.3922527777777569,119.50964999999998,50.9006666666666,330.5274861111115,172.67623333333373,31.439880555555558,31.378280555555492,35.996869444444393,35.982422222222247,2880
2022,46037,46,South Dakota,Day,40.379385135135159,13.875810810810794,51.428925675675693,17.480337837837844,65.180885135135114,21.119452702702695,36.603006756756805,41.407081081081074,39.070722222222209,38.767818181818164,1184
2022,46039,46,South Dakota,Deuel,50.813542016806878,10.701840336134453,69.571668067226824,13.62616806722688,91.319470588235333,17.202764705882366,35.503214285714272,35.136142857142936,53.134934497816644,45.771497816593865,1904
2022,46041,46,South Dakota,Dewey,20.745573134328374,3.7783731343283544,72.2316537313433,17.761495522388074,172.57751044776123,51.913758208955322,29.433423880596994,29.416892537313423,33.919299401197549,34.149571856287565,2680
2022,46043,46,South Dakota,Douglas,58.830494505494464,45.697252747252712,61.531835164835115,47.342197802197774,64.242989010988964,49.026901098901057,37.890626373626411,37.536934065934084,38.433453488372066,38.311093023255829,728
2022,46045,46,South Dakota,Edmunds,60.623621004566054,42.083077625570716,90.449639269406347,61.679977168949868,126.35881735159803,88.0826073059361,41.286105022831052,41.947936073059346,47.625377990430657,46.990574162679415,1752
2022,46047,46,South Dakota,Fall River,19.059273529411733,14.614711764705886,58.149458823529372,52.134773529411675,120.09298529411775,108.75030294117633,26.207270588235318,26.524223529411803,32.219504451038532,32.652216617210605,2720
2022,46049,46,South Dakota,Faulk,76.414004166666672,60.9978291666668,103.73670416666663,83.043420833333357,132.90842083333308,106.08385833333342,31.666716666666684,33.79640833333324,45.588531707316996,45.5931365853659,1920
2022,46051,46,South Dakota,Grant,35.998875722543374,6.4946358381502893,81.291606936416315,18.653630057803447,145.41438728323706,39.243150289017343,27.064112716762985,26.686537572254306,34.106938416422345,34.2454340175953,2768
2022,46053,46,South Dakota,Gregory,43.435654135338282,22.790157894736826,88.011515037593938,46.638127819548821,148.92587218045102,86.394086466165476,48.293563909774363,34.156315789473652,37.803612403100693,37.871015503875974,2128
