state_name,income_download_correlation,avg_download_speed,avg_household_income
Alabama,-0.23887385673927117,132.23657985537653,28.667211719274263
Alaska,0.0993195291433289,62.5075362782648,2.2514240509655408
Arizona,0.6815861457773785,114.34377228619405,2.427870042075125
Arkansas,-0.10801835148755919,120.06209412238907,16.392232665200794
California,0.3631570946593168,140.8775295493807,3.5997363981788046
Colorado,0.26384352538587874,123.56615050163111,2.083630924557223
Delaware,0.7112472451720561,189.70082947976866,22.358198348165388
District of Columbia,,162.06094368340914,45.68512435125472
Florida,-0.20521856693216034,147.21181601501385,14.724929835900221
Georgia,-0.07682985873097022,133.69476019923556,28.567281564170226
Hawaii,-0.590235151191131,113.84910838150282,1.2926382952446596
Idaho,0.09564715994297587,79.53730315117163,0.7733106004961886
Illinois,0.161946202655583,131.80288242422006,5.601345566043824
Indiana,0.3931721718141742,135.18351298253293,3.198707531622432
Iowa,0.39585046093838794,109.57040048496569,1.8685482411211023
Kansas,0.4196337245954116,98.00803197735485,2.317467823205011
Kentucky,0.23061518461994907,124.63680892925646,3.7835595969173403
Louisiana,-0.04420537998925534,120.32400154076075,32.00931141693012
Maine,0.5962343999550072,123.64544328135838,1.2709725190984422
Maryland,-0.1255611319441906,175.35585392448726,21.6243239745109
Massachusetts,-0.48198601009977665,179.00987489686207,8.099016467319275
Michigan,0.21330577704549258,130.2951349415899,4.040397304344524
Minnesota,0.5297950271892001,113.73919925143719,2.280854441116674
Mississippi,-0.47457091300208454,117.57227730390385,41.70687869377149
Missouri,0.2447962169096535,109.88343157991189,3.809864672040891
Montana,0.1847859398553464,97.39162383759188,0.5276495966910372
Nebraska,0.2312431127728242,100.94960199837513,1.2749177240315832
Nevada,0.12519742808631,92.86539198805153,3.230222408573094
New Hampshire,0.5444564677895668,162.1983913484442,1.329615902600262
New Jersey,-0.05959869639147865,186.37173234995421,13.709171403535985
New Mexico,0.4672027725790524,106.45506997226464,2.1020384758850112
New York,0.41895594138707964,154.44676350498298,7.1767437563664735
North Carolina,0.06270735261823798,137.17497742292193,20.618431770811423
North Dakota,0.006197906886478126,144.4317802589022,1.3004766614025753
Ohio,0.22211314411596317,132.83747626114447,4.555776380967657
Oklahoma,0.27585972903289846,115.72010927078628,3.8798038035417113
Oregon,0.30537009012959193,126.49551569628903,1.0744307610709543
Pennsylvania,0.15421395935930413,147.12336784006266,5.252610610955712
Rhode Island,-0.8952323794733047,178.19526705202315,4.6662380282245675
South Carolina,-0.17694419473675274,148.24855980156656,35.05021659016028
South Dakota,0.2324039174512038,112.11619773130148,0.9437038121040632
Tennessee,-0.14696542609449365,156.3100287849579,7.648767141615735
Texas,0.1862536603566043,121.46623515567593,7.098580528856939
Utah,0.4194879529919429,127.29689490304273,0.8207184239479883
Vermont,0.3871391528474116,115.73051198269135,1.131956377562412
Virginia,0.1122936300709259,148.25683945261142,18.942526434308913
Washington,0.48905241199392924,124.86536309925093,1.875631494105856
West Virginia,0.3098973982900168,124.29009613069054,2.433559249805995
Wisconsin,0.287655614756693,118.78849002437116,1.899014910006765
Wyoming,0.27205318351431695,106.92264559234249,0.954318148921794
