year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2023,45001,45,South Carolina,Abbeville,18.518843023255815,10.144648255813951,150.52059593023253,102.27223837209303,421.48667732558124,322.67345930232585,14.49674127906977,14.458712209302336,18.448723032069978,18.350772594752204,2752
2023,45003,45,South Carolina,Aiken,0.59121965317919078,0.058049132947976853,181.43061271676279,73.590075144508745,900.8634306358374,847.207682080925,17.939442196531779,17.953424855491324,27.015939306358373,26.98329768786127,2768
2023,45005,45,South Carolina,Allendale,24.181145896656563,4.1294437689969588,228.44859878419447,136.79068085106374,587.18510638297892,561.78443465045564,9.35006382978724,9.4429513677811538,22.077744680851033,22.158121580547121,2632
2023,45007,45,South Carolina,Anderson,0.57726011560693691,0.055430635838150312,175.23969653179191,47.528965317919109,838.53165606936386,817.26563872832355,14.546326589595381,14.535760115606923,26.041679190751431,26.041271676300582,2768
2023,45009,45,South Carolina,Bamberg,65.782013953488359,20.465827906976727,109.78333953488374,43.324925581395355,164.36933488372102,77.830288372093079,30.741558139534895,30.397004651162824,37.475349282296619,37.914114832535866,1720
2023,45011,45,South Carolina,Barnwell,3.0824508670520223,0.43327167630057795,117.04211271676307,20.280575144508653,425.14861271676295,73.30805202312132,23.507320809248544,23.580245664739902,27.394630057803472,27.434994219653181,2768
2023,45013,45,South Carolina,Beaufort,0.29283815028901727,0.040869942196531811,150.97531791907522,32.5843901734104,758.7719075144513,599.77488728323772,15.551052023121382,15.575768786127158,26.574430635838159,26.590985549132959,2768
2023,45015,45,South Carolina,Berkeley,0.44584682080924831,0.053104046242774566,166.66117052023128,81.064216763005788,909.70980924855485,1032.6478872832372,24.250268786127169,24.262066473988426,33.438939306358421,33.456037572254331,2768
2023,45017,45,South Carolina,Calhoun,85.273241106719368,69.555924901185747,148.6827549407115,118.14667588932814,231.80462055335963,181.36405928853742,22.455391304347835,23.164881422924882,25.344638888888895,25.119730158730135,2024
2023,45019,45,South Carolina,Charleston,0.156291907514451,0.0263034682080925,160.84164739884403,65.05137861271669,1049.6989335260116,1116.7871878612711,22.970083815028914,22.967852601156071,36.296780346820825,36.299771676300558,2768
2023,45021,45,South Carolina,Cherokee,3.8074248554913273,0.65287861271676284,167.25573121387285,30.072800578034649,558.4571589595372,285.92139884393077,17.809979768786132,17.771679190751449,28.837135838150271,28.87686127167629,2768
2023,45023,45,South Carolina,Chester,2.5236936416184959,0.32501445086705177,87.7576589595375,27.476687861271685,387.19868786127159,191.41947687861267,23.80767052023122,23.753887283237,29.928560693641636,29.654323699421962,2768
2023,45025,45,South Carolina,Chesterfield,4.717661849710983,0.89542485549132989,140.14482658959534,88.323210982658949,549.40910404624287,475.38826589595374,19.51395086705201,19.612060693641602,24.379179190751429,24.423421965317921,2768
2023,45027,45,South Carolina,Clarendon,13.50526300578036,2.1886156069364158,128.55976589595372,35.5024075144509,361.40053468208112,187.56109248554898,20.41958670520232,20.363049132947978,25.820421965317916,25.830028901734106,2768
2023,45029,45,South Carolina,Colleton,7.5073121387283184,3.4479884393063567,97.066216763005812,66.461517341040434,380.84260982658935,289.87111271676315,20.465445086705195,20.635635838150293,27.810257225433524,27.903884393063557,2768
2023,45031,45,South Carolina,Darlington,4.0669364161849737,0.90999421965317884,166.50288728323713,24.195962427745663,503.2846936416185,191.84281791907509,26.549485549132928,26.599829479768786,31.783803468208074,31.53507803468208,2768
2023,45033,45,South Carolina,Dillon,19.636534682080928,2.941260115606938,155.85856936416181,31.603959537572251,380.66664450867046,141.57219364161847,21.647459537572267,21.688682080924824,29.40718786127168,29.494976878612729,2768
2023,45035,45,South Carolina,Dorchester,0.32942196531791895,0.050858381502890154,185.85945375722534,95.167664739884387,907.89651734104,955.79017341040367,18.024479768786122,18.018927745664719,27.906609826589595,27.950095375722562,2768
2023,45037,45,South Carolina,Edgefield,12.258127906976735,3.1437558139534874,98.142688953488417,27.629912790697681,286.34012790697682,89.866738372093039,25.500421511627927,24.894328488372064,29.944612244897975,30.378688046647227,2752
2023,45039,45,South Carolina,Fairfield,5.2612318840579677,1.5157130434782609,102.35913333333329,34.638973913043458,361.64119710144951,176.01279130434787,26.645495652173903,26.557165217391319,30.793484057971003,30.824976811594208,2760
2023,45041,45,South Carolina,Florence,0.83486416184971146,0.094760115606936438,158.1346213872832,44.158329479768788,704.1395173410408,627.24014161849732,20.010708092485526,20.000442196531793,28.296630057803473,28.280687861271637,2768
2023,45043,45,South Carolina,Georgetown,1.5818757225433528,0.2745346820809248,176.97330346820814,36.122132947976866,664.9916994219659,376.43582369942226,13.495563583815031,13.521179190751445,28.203595375722546,28.205135838150294,2768
2023,45045,45,South Carolina,Greenville,0.14559826589595382,0.023424855491329485,171.25508959537561,56.809482658959531,1032.9510606936408,952.75566473988351,13.654997109826592,13.648794797687863,24.132095375722535,24.13539306358383,2768
2023,45047,45,South Carolina,Greenwood,3.5316849710982621,0.675231213872832,160.98264739884394,105.84943641618493,640.72247976878623,569.49171965317885,10.368219653179198,10.318352601156066,20.404500000000013,20.409413294797673,2768
2023,45049,45,South Carolina,Hampton,11.541336231884054,2.4529449275362278,113.66065797101454,51.103130434782635,317.9085188405798,192.56048985507238,27.806834782608682,27.691852173913055,42.11900869565217,42.164052173912992,2760
