year,country,state,state_name,city,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2021,IN,IN-MH,Maharashtra,Abhona,11.240145454545454,4.7103454545454495,37.112090909090924,25.436490909090889,83.274909090909063,69.524999999999977,21.302763636363647,21.81785454545453,23.42718181818179,23.553454545454549,440
2021,IN,IN-MH,Maharashtra,Achalpur,3.3574736842105231,2.7117631578947368,13.715894736842111,11.476105263157898,34.828368421052616,34.437447368421054,40.154868421052605,39.832421052631581,44.994368421052648,45.743921052631592,304
2021,IN,IN-MH,Maharashtra,Adas,10.967166666666666,0.50700000000000012,11.788333333333332,0.555166666666667,12.609333333333334,0.60333333333333372,25.5965,26.052166666666665,31.101666666666674,30.456166666666665,48
2021,IN,IN-MH,Maharashtra,Adasa,17.15625,5.13375,19.51825,11.370000000000001,21.879749999999998,17.60575,26.829250000000002,23.00675,21.597,24.93025,32
2021,IN,IN-MH,Maharashtra,Adasi,20.151014492753635,15.69914492753621,33.386637681159435,26.275101449275365,50.266898550724605,38.71743478260867,24.52442028985508,25.379536231884046,25.597739130434793,25.719057971014479,552
2021,IN,IN-MH,Maharashtra,Agashi,10.326142857142861,4.4151428571428575,17.879499999999993,6.5293571428571431,27.593857142857154,9.0240714285714283,32.870785714285709,32.380571428571415,39.048142857142842,36.884857142857136,112
2021,IN,IN-MH,Maharashtra,Ahmadpur,8.7434601769911584,5.2250530973451355,40.6758318584071,24.312115044247797,88.4891592920354,59.560194690265511,31.014911504424756,31.293247787610614,30.200929203539815,31.955106194690259,904
2021,IN,IN-MH,Maharashtra,Ahmednagar,0.0892849315068492,0.01931780821917807,28.472452054794509,18.357520547945231,200.88961643835611,137.87050136986289,28.956890410958888,28.969939726027409,30.35499999999999,30.329257534246523,2920
2021,IN,IN-MH,Maharashtra,Airoli,4.6793886462882108,3.2622183406113496,17.888152838427949,15.496698689956338,41.489772925764171,37.099314410480275,7.9096637554585216,7.6736200873362472,7.3973231441048029,7.5044061135371063,1832
2021,IN,IN-MH,Maharashtra,Akluj,2.5574333333333352,1.3059722222222234,24.535972222222171,19.29181388888891,75.109699999999847,63.289063888888947,27.338491666666673,27.611222222222221,28.1728222222222,28.262783333333317,2880
2021,IN,IN-MH,Maharashtra,Akola,0.49820273972602847,0.07752328767123276,21.758789041095859,14.904117808219164,101.70961369863002,78.62019726027404,32.145093150684943,32.202904109588971,33.352569863013649,33.325761643835634,2920
2021,IN,IN-MH,Maharashtra,Akoli,0.60170491803278736,0.28359016393442626,2.81386885245902,1.0032786885245901,6.4072459016393459,2.103770491803278,85.003295081967252,84.527229508196683,88.270786885245869,89.571901639344219,488
2021,IN,IN-MH,Maharashtra,Akot,1.9247451523545689,0.70815235457063608,13.00422437673129,7.9779390581717449,35.398545706371159,23.712108033241066,32.052941828254866,32.209515235457026,45.598279778393241,45.093296398891965,2888
2021,IN,IN-MH,Maharashtra,Akulkheda,2.019,0.36124999999999996,2.3357500000000004,0.40349999999999997,2.6525,0.44574999999999992,322.82750000000016,63.742000000000012,256.434,105.53825000000002,32
2021,IN,IN-MH,Maharashtra,Akurdi,3.8849999999999989,3.2661818181818187,5.8018181818181809,3.2671818181818177,7.7185454545454553,3.2681818181818185,188.6911818181818,188.6911818181818,179.10527272727282,179.10527272727282,88
2021,IN,IN-MH,Maharashtra,Alandi,8.5125849056603755,8.6639622641509284,21.707943396226394,15.406037735849049,37.231075471698091,23.512999999999984,11.013981132075472,9.6215660377358425,8.3759999999999977,8.5001509433962283,424
2021,IN,IN-MH,Maharashtra,Alibag,0.285586301369863,0.04346575342465761,13.541079452054774,10.300336986301364,72.556668493150767,57.808493150685067,19.410898630137019,19.48793424657531,20.563443835616404,20.619358904109564,2920
2021,IN,IN-MH,Maharashtra,Alkuti,5.512307692307691,4.7109999999999985,5.9562307692307677,4.7286923076923086,6.4001538461538443,4.7464615384615376,85.426923076923131,84.134307692307658,91.935692307692321,91.882769230769242,104
2021,IN,IN-MH,Maharashtra,Allapalli,4.1291875000000111,4.1249375000000059,35.552703125000029,26.976375000000015,86.142531250000033,68.832671875,24.398125,24.38578125,26.027718749999988,25.832437500000012,512
2021,IN,IN-MH,Maharashtra,Amalner,2.5790904255319123,0.70978723404255273,8.7301170212765822,5.1307659574468119,19.332537234042558,13.115489361702132,50.973058510638239,49.533308510638321,51.562888297872313,53.65696808510635,1504
2021,IN,IN-MH,Maharashtra,Ambajogai,4.5359006211180253,2.3563198757763959,18.220425465838517,11.804704968944105,52.993260869565226,37.888596273291938,39.770077639751619,39.133531055900569,39.882416149068291,45.323909937888168,2576
2021,IN,IN-MH,Maharashtra,Ambarnath,7.46350965250965,5.73864864864865,17.099081081081106,15.04157915057916,33.063397683397682,29.76224710424712,9.7873938223938168,9.9431467181467141,11.362606177606191,11.690729729729727,2072
2021,IN,IN-MH,Maharashtra,Ambavli,3.8645490196078423,1.5307254901960783,5.6709803921568636,2.3786666666666663,8.1431960784313659,3.3304117647058824,85.247431372548959,85.485941176470618,86.624196078431424,87.129196078431391,408
2021,IN,IN-MH,Maharashtra,Ambewadi,8.6335000000000015,2.0428333333333337,8.6335000000000015,2.0428333333333337,8.6335000000000015,2.0428333333333337,51.537833333333332,54.800166666666662,394.83200000000005,394.83200000000005,48
