year,country,state,state_name,city,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2021,IN,IN-TN,Tamil Nadu,Abiramam,10.391871794871783,6.5051282051282087,21.223128205128187,12.296051282051288,35.971692307692329,18.956538461538454,16.014487179487158,16.201923076923091,16.989051282051303,16.764435897435895,312
2021,IN,IN-TN,Tamil Nadu,Acharapakkam,1.9852499999999991,0.20883333333333337,4.6247916666666677,0.34191666666666648,7.7701250000000011,0.47175000000000011,80.29574999999997,83.084791666666661,89.125291666666669,88.857458333333369,192
2021,IN,IN-TN,Tamil Nadu,Adaiyur,4.6613000000000024,0.66575000000000051,7.2139749999999969,1.4927249999999983,11.459749999999993,3.2150249999999994,83.797474999999963,84.102874999999955,87.209875,86.511575000000022,320
2021,IN,IN-TN,Tamil Nadu,Adanur,29.840132231404922,18.90147107438019,41.411991735537221,28.096388429752064,55.154867768595054,38.283570247933874,22.0966446280992,21.712289256198325,25.4096694214876,26.928925619834711,968
2021,IN,IN-TN,Tamil Nadu,Adirampattinam,10.466503787878786,7.2085189393939411,40.871848484848449,31.566821969696967,86.72664772727282,67.944617424242452,23.52774999999999,22.069356060606065,24.671367424242455,24.750757575757582,2112
2021,IN,IN-TN,Tamil Nadu,Adiyakkamangalam,1.7469523809523821,0.57500000000000007,2.5547142857142866,0.93485714285714283,3.4493809523809511,1.3320952380952382,187.15290476190492,187.08233333333334,176.20861904761892,176.44947619047619,168
2021,IN,IN-TN,Tamil Nadu,Aduthurai,2.4959599999999997,0.55779999999999974,6.5216799999999981,3.6292399999999994,12.00112,8.2905200000000026,49.428079999999973,48.528400000000012,50.555119999999995,50.114520000000013,200
2021,IN,IN-TN,Tamil Nadu,Adyar,50.022718309859158,39.090225352112654,64.959014084507018,46.183802816901391,81.619732394366139,53.6212253521127,7.104985915492958,11.222690140845073,8.7296901408450669,8.85464788732395,568
2021,IN,IN-TN,Tamil Nadu,Agalanganallur,2.0099082568807334,0.482293577981651,10.275623853211011,3.4117155963302741,27.843550458715598,11.496192660550459,146.47699082568795,146.13503669724747,148.77860550458726,147.51653211009207,872
2021,IN,IN-TN,Tamil Nadu,Agarakottalam,2.5103880597014943,0.50507462686567173,6.4406268656716437,1.119746268656715,14.454447761194038,2.2843134328358206,95.72089552238802,85.692149253731316,89.726313432835852,85.463462686567112,536
2021,IN,IN-TN,Tamil Nadu,Akkammapettai,4.9310806451612921,1.5842741935483862,11.486741935483876,3.2359032258064517,22.05037096774192,6.1121935483870988,34.603338709677431,33.082790322580621,34.611000000000004,48.720935483871017,496
2021,IN,IN-TN,Tamil Nadu,Akkaraipettai,12.487742857142852,9.2087714285714348,29.50545714285715,23.696114285714298,49.394571428571417,44.591828571428564,55.480742857142879,55.240171428571422,32.410142857142873,32.045142857142849,280
2021,IN,IN-TN,Tamil Nadu,Aladu,29.465,9.756,29.465,9.756,29.465,9.756,320.365,320.365,325.581,325.581,8
2021,IN,IN-TN,Tamil Nadu,Alagapuram,0.78936666666666677,0.45579999999999987,2.1930333333333332,1.1043000000000014,4.0082333333333358,2.0092999999999992,161.24660000000006,161.46316666666675,128.38400000000007,128.06496666666669,240
2021,IN,IN-TN,Tamil Nadu,Alagapuri,23.752518518518528,19.469925925925921,46.752814814814805,41.976333333333329,81.318185185185186,68.101962962962958,23.202999999999996,23.115962962962964,25.914925925925925,25.039518518518516,216
2021,IN,IN-TN,Tamil Nadu,Alagumalai,1.3807886178861795,0.51603252032520264,2.7709430894308937,1.0102357723577233,4.8898536585365786,1.797512195121949,116.08034959349592,116.00298373983745,124.36921951219519,124.32379674796752,984
2021,IN,IN-TN,Tamil Nadu,Alampadi,1.3362272727272733,0.70331818181818184,2.4381363636363633,1.1014090909090908,3.9013636363636377,1.8552727272727279,82.081545454545491,82.220772727272774,88.465772727272793,88.21168181818183,176
2021,IN,IN-TN,Tamil Nadu,Alampatti,16.229936781609187,9.8273275862068949,41.681333333333413,30.3482068965517,80.269229885057484,60.9486264367816,28.090356321839067,28.728879310344787,30.509281609195391,29.857321839080452,1392
2021,IN,IN-TN,Tamil Nadu,Alandur,10.639571428571434,5.32581632653061,13.758551020408166,6.5997346938775516,18.208959183673464,8.1039591836734637,118.44130612244896,113.37548979591831,114.94889795918374,121.04436734693873,392
2021,IN,IN-TN,Tamil Nadu,Alangudi,10.662374999999999,3.9706249999999992,13.029,4.1257500000000009,15.84325,4.3532499999999992,30.898500000000002,31.206749999999992,32.312749999999987,32.302749999999996,64
2021,IN,IN-TN,Tamil Nadu,Alangulam,14.627085365853656,7.780024390243903,33.3096463414634,22.000085365853675,58.882499999999958,42.010048780487828,25.752621951219517,25.634853658536585,29.59664634146344,29.124573170731715,656
2021,IN,IN-TN,Tamil Nadu,Alapakkam,51.687999999999995,26.07856666666666,63.129033333333361,30.762733333333355,75.380500000000012,34.475266666666649,5.2726666666666659,5.2815333333333294,14.157333333333334,14.165366666666671,240
2021,IN,IN-TN,Tamil Nadu,Aliyanilai,7.6210666666666596,3.4661037037037041,23.510192592592595,15.492229629629636,56.761637037036991,42.651911111111055,59.948977777777849,60.030948148148191,70.237037037037069,69.003362962962868,1080
2021,IN,IN-TN,Tamil Nadu,Allalaperi,0.79782352941176493,0.35158823529411709,8.2466470588235286,2.1888235294117657,23.831882352941182,8.5796764705882413,197.47661764705887,197.60311764705881,201.88479411764715,202.87588235294132,272
