NAME,B01001_001E,B01001_001EA,B01001_001M,B01001_001MA,B01001_002E,B01001_002EA,B01001_002M,B01001_002MA,B01001_003E,B01001_003EA,B01001_003M,B01001_003MA,B01001_004E,B01001_004EA,B01001_004M,B01001_004MA,B01001_005E,B01001_005EA,B01001_005M,B01001_005MA,B01001_006E,B01001_006EA,B01001_006M,B01001_006MA,B01001_007E,B01001_007EA,B01001_007M,B01001_007MA,B01001_008E,B01001_008EA,B01001_008M,B01001_008MA,B01001_009E,B01001_009EA,B01001_009M,B01001_009MA,B01001_010E,B01001_010EA,B01001_010M,B01001_010MA,B01001_011E,B01001_011EA,B01001_011M,B01001_011MA,B01001_012E,B01001_012EA,B01001_012M,B01001_012MA,B01001_013E,B01001_013EA,B01001_013M,B01001_013MA,B01001_014E,B01001_014EA,B01001_014M,B01001_014MA,B01001_015E,B01001_015EA,B01001_015M,B01001_015MA,B01001_016E,B01001_016EA,B01001_016M,B01001_016MA,B01001_017E,B01001_017EA,B01001_017M,B01001_017MA,B01001_018E,B01001_018EA,B01001_018M,B01001_018MA,B01001_019E,B01001_019EA,B01001_019M,B01001_019MA,B01001_020E,B01001_020EA,B01001_020M,B01001_020MA,B01001_021E,B01001_021EA,B01001_021M,B01001_021MA,B01001_022E,B01001_022EA,B01001_022M,B01001_022MA,B01001_023E,B01001_023EA,B01001_023M,B01001_023MA,B01001_024E,B01001_024EA,B01001_024M,B01001_024MA,B01001_025E,B01001_025EA,B01001_025M,B01001_025MA,B01001_026E,B01001_026EA,B01001_026M,B01001_026MA,B01001_027E,B01001_027EA,B01001_027M,B01001_027MA,B01001_028E,B01001_028EA,B01001_028M,B01001_028MA,B01001_029E,B01001_029EA,B01001_029M,B01001_029MA,B01001_030E,B01001_030EA,B01001_030M,B01001_030MA,B01001_031E,B01001_031EA,B01001_031M,B01001_031MA,B01001_032E,B01001_032EA,B01001_032M,B01001_032MA,B01001_033E,B01001_033EA,B01001_033M,B01001_033MA,B01001_034E,B01001_034EA,B01001_034M,B01001_034MA,B01001_035E,B01001_035EA,B01001_035M,B01001_035MA,B01001_036E,B01001_036EA,B01001_036M,B01001_036MA,B01001_037E,B01001_037EA,B01001_037M,B01001_037MA,B01001_038E,B01001_038EA,B01001_038M,B01001_038MA,B01001_039E,B01001_039EA,B01001_039M,B01001_039MA,B01001_040E,B01001_040EA,B01001_040M,B01001_040MA,B01001_041E,B01001_041EA,B01001_041M,B01001_041MA,B01001_042E,B01001_042EA,B01001_042M,B01001_042MA,B01001_043E,B01001_043EA,B01001_043M,B01001_043MA,B01001_044E,B01001_044EA,B01001_044M,B01001_044MA,B01001_045E,B01001_045EA,B01001_045M,B01001_045MA,B01001_046E,B01001_046EA,B01001_046M,B01001_046MA,B01001_047E,B01001_047EA,B01001_047M,B01001_047MA,B01001_048E,B01001_048EA,B01001_048M,B01001_048MA,B01001_049E,B01001_049EA,B01001_049M,B01001_049MA,GEO_ID,NAME,state,county,tract,block group
Block Group 2; Census Tract 3592.03; Contra Costa County; California,1411,,411,,682,,225,,18,,34,,0,,13,,87,,134,,0,,13,,19,,31,,0,,13,,0,,13,,28,,43,,13,,26,,59,,47,,0,,13,,85,,73,,9,,31,,108,,93,,123,,113,,32,,37,,21,,35,,8,,15,,17,,28,,30,,38,,14,,26,,0,,13,,11,,20,,729,,229,,0,,13,,60,,73,,73,,74,,0,,13,,0,,13,,0,,13,,0,,13,,23,,38,,21,,32,,30,,40,,23,,36,,170,,135,,14,,23,,22,,35,,22,,38,,33,,38,,29,,34,,31,,37,,76,,81,,73,,95,,18,,30,,11,,19,,0,,13,,1500000US060133592032,Block Group 2; Census Tract 3592.03; Contra Costa County; California,06,013,359203,2
Block Group 1; Census Tract 3551.23; Contra Costa County; California,2448,,591,,1040,,245,,21,,22,,25,,24,,158,,61,,110,,55,,15,,18,,8,,15,,0,,13,,14,,16,,14,,17,,11,,16,,0,,13,,109,,46,,108,,56,,159,,67,,102,,45,,4,,7,,145,,197,,0,,13,,0,,13,,10,,14,,27,,38,,0,,13,,0,,13,,1408,,472,,141,,179,,119,,65,,108,,50,,88,,50,,27,,30,,0,,13,,5,,8,,27,,22,,18,,20,,134,,110,,0,,13,,162,,52,,159,,58,,92,,36,,147,,121,,104,,143,,10,,14,,0,,13,,8,,14,,31,,38,,28,,39,,0,,13,,0,,13,,1500000US060133551231,Block Group 1; Census Tract 3551.23; Contra Costa County; California,06,013,355123,1
Block Group 2; Census Tract 3072.04; Contra Costa County; California,989,,295,,527,,174,,0,,13,,8,,14,,0,,13,,13,,18,,1,,5,,0,,13,,0,,13,,67,,83,,34,,47,,6,,10,,53,,60,,0,,13,,6,,9,,34,,44,,113,,124,,82,,57,,32,,30,,0,,13,,1,,4,,28,,41,,20,,24,,19,,22,,10,,17,,462,,171,,0,,13,,56,,52,,36,,48,,10,,19,,0,,13,,0,,13,,0,,13,,0,,13,,51,,53,,6,,11,,16,,20,,26,,40,,35,,35,,8,,12,,30,,36,,16,,25,,0,,13,,0,,13,,95,,58,,15,,17,,62,,42,,0,,13,,0,,13,,1500000US060133072042,Block Group 2; Census Tract 3072.04; Contra Costa County; California,06,013,307204,2
Block Group 2; Census Tract 3430.01; Contra Costa County; California,1509,,710,,751,,354,,0,,13,,0,,13,,170,,140,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,30,,36,,53,,80,,0,,13,,0,,13,,167,,138,,28,,47,,0,,13,,67,,74,,61,,69,,33,,39,,19,,31,,107,,164,,16,,26,,0,,13,,0,,13,,758,,370,,18,,31,,0,,13,,19,,32,,141,,125,,0,,13,,0,,13,,0,,13,,0,,13,,64,,68,,0,,13,,20,,31,,0,,13,,168,,139,,0,,13,,84,,77,,41,,54,,8,,15,,23,,36,,158,,245,,0,,13,,0,,13,,14,,24,,0,,13,,1500000US060133430012,Block Group 2; Census Tract 3430.01; Contra Costa County; California,06,013,343001,2
Block Group 3; Census Tract 3430.01; Contra Costa County; California,2440,,1056,,1357,,772,,0,,13,,0,,13,,10,,15,,143,,151,,64,,93,,134,,186,,179,,248,,121,,129,,88,,102,,86,,98,,85,,82,,0,,13,,26,,49,,84,,101,,131,,158,,10,,16,,58,,56,,0,,13,,58,,74,,38,,37,,16,,27,,0,,13,,26,,41,,1083,,351,,66,,70,,56,,69,,53,,59,,73,,77,,1,,4,,0,,13,,0,,13,,96,,81,,77,,87,,68,,57,,93,,65,,24,,44,,63,,78,,49,,75,,201,,185,,32,,41,,34,,40,,17,,27,,15,,25,,39,,63,,26,,40,,0,,13,,0,,13,,1500000US060133430013,Block Group 3; Census Tract 3430.01; Contra Costa County; California,06,013,343001,3
Block Group 4; Census Tract 3020.09; Contra Costa County; California,2335,,534,,1194,,311,,122,,147,,20,,30,,42,,37,,39,,47,,27,,29,,20,,32,,0,,13,,129,,130,,38,,45,,118,,86,,93,,62,,72,,72,,102,,83,,133,,101,,116,,83,,14,,24,,13,,20,,18,,24,,31,,28,,22,,25,,15,,25,,8,,6,,2,,5,,1141,,313,,43,,47,,11,,19,,107,,121,,42,,53,,15,,25,,44,,65,,0,,13,,55,,65,,26,,45,,141,,103,,10,,15,,99,,69,,82,,72,,126,,94,,114,,86,,29,,34,,53,,40,,44,,43,,45,,48,,25,,27,,30,,38,,0,,13,,0,,13,,1500000US060133020094,Block Group 4; Census Tract 3020.09; Contra Costa County; California,06,013,302009,4
Block Group 3; Census Tract 3032.04; Contra Costa County; California,2100,,357,,1027,,222,,23,,27,,136,,103,,121,,75,,61,,79,,43,,47,,18,,30,,0,,13,,22,,26,,59,,54,,21,,23,,119,,77,,79,,53,,53,,49,,60,,43,,46,,31,,7,,12,,39,,39,,0,,13,,33,,42,,17,,19,,52,,42,,8,,13,,10,,15,,1073,,228,,33,,43,,117,,70,,177,,122,,44,,35,,25,,27,,33,,36,,12,,19,,0,,13,,0,,13,,47,,38,,126,,70,,54,,44,,67,,54,,116,,61,,79,,49,,7,,11,,18,,20,,10,,17,,0,,13,,50,,50,,22,,24,,36,,32,,0,,13,,1500000US060133032043,Block Group 3; Census Tract 3032.04; Contra Costa County; California,06,013,303204,3
Block Group 1; Census Tract 3891; Contra Costa County; California,1188,,258,,452,,134,,19,,24,,13,,14,,29,,34,,38,,36,,9,,15,,19,,23,,0,,13,,6,,10,,34,,27,,40,,30,,17,,26,,37,,27,,29,,25,,34,,23,,26,,34,,17,,16,,33,,26,,6,,9,,21,,18,,20,,19,,5,,7,,0,,13,,0,,13,,736,,173,,19,,17,,27,,22,,21,,16,,0,,13,,0,,13,,6,,8,,0,,13,,23,,20,,29,,29,,114,,114,,48,,31,,69,,39,,67,,44,,33,,24,,19,,18,,4,,7,,15,,17,,77,,64,,10,,14,,114,,104,,15,,15,,10,,16,,16,,19,,1500000US060133891001,Block Group 1; Census Tract 3891; Contra Costa County; California,06,013,389100,1
Block Group 1; Census Tract 3521.02; Contra Costa County; California,1531,,320,,802,,195,,16,,24,,94,,53,,107,,73,,58,,44,,8,,13,,0,,13,,0,,13,,44,,53,,11,,19,,0,,13,,7,,10,,42,,42,,153,,57,,38,,28,,48,,42,,10,,15,,31,,38,,13,,19,,35,,27,,45,,50,,16,,16,,0,,13,,26,,22,,729,,170,,6,,9,,17,,19,,143,,70,,51,,52,,0,,13,,0,,13,,6,,9,,0,,13,,21,,22,,0,,13,,32,,31,,35,,26,,178,,79,,34,,30,,46,,42,,17,,18,,9,,13,,43,,32,,0,,13,,65,,52,,0,,13,,17,,19,,9,,13,,1500000US060133521021,Block Group 1; Census Tract 3521.02; Contra Costa County; California,06,013,352102,1
Block Group 3; Census Tract 3522.01; Contra Costa County; California,2120,,372,,1088,,227,,63,,71,,55,,53,,103,,87,,57,,55,,36,,51,,34,,58,,0,,13,,0,,13,,27,,40,,14,,23,,16,,27,,100,,67,,107,,69,,47,,55,,183,,94,,25,,34,,16,,27,,13,,21,,37,,39,,67,,59,,28,,34,,16,,25,,44,,39,,1032,,239,,65,,58,,82,,55,,43,,46,,63,,57,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,14,,23,,54,,59,,84,,54,,69,,60,,133,,78,,95,,71,,0,,13,,22,,37,,32,,35,,81,,76,,42,,38,,50,,44,,46,,42,,57,,90,,1500000US060133522013,Block Group 3; Census Tract 3522.01; Contra Costa County; California,06,013,352201,3
Block Group 4; Census Tract 3760; Contra Costa County; California,1440,,798,,666,,390,,49,,65,,28,,36,,103,,113,,0,,13,,85,,136,,65,,72,,25,,42,,0,,13,,0,,13,,69,,75,,0,,13,,15,,24,,80,,101,,64,,57,,63,,74,,0,,13,,0,,13,,20,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,774,,434,,0,,13,,116,,134,,35,,48,,63,,65,,8,,14,,41,,63,,0,,13,,82,,79,,104,,109,,52,,61,,0,,13,,0,,13,,69,,53,,134,,165,,28,,32,,0,,13,,8,,12,,0,,13,,0,,13,,34,,35,,0,,13,,0,,13,,0,,13,,1500000US060133760004,Block Group 4; Census Tract 3760; Contra Costa County; California,06,013,376000,4
Block Group 2; Census Tract 3430.03; Contra Costa County; California,1744,,282,,735,,165,,37,,38,,49,,31,,18,,21,,18,,21,,7,,11,,0,,13,,0,,13,,24,,26,,98,,47,,43,,33,,44,,47,,49,,35,,80,,47,,59,,47,,49,,32,,0,,13,,8,,13,,11,,16,,7,,10,,49,,40,,28,,28,,0,,13,,57,,80,,1009,,175,,53,,53,,75,,50,,93,,44,,31,,33,,0,,13,,13,,20,,0,,13,,50,,42,,89,,60,,73,,42,,21,,19,,49,,33,,151,,75,,50,,41,,58,,38,,6,,9,,7,,11,,8,,13,,14,,17,,46,,39,,65,,64,,33,,38,,24,,22,,1500000US060133430032,Block Group 2; Census Tract 3430.03; Contra Costa County; California,06,013,343003,2
Block Group 1; Census Tract 3610; Contra Costa County; California,1115,,339,,481,,151,,43,,43,,17,,21,,25,,24,,6,,11,,7,,13,,0,,13,,0,,13,,6,,11,,15,,20,,44,,72,,68,,48,,17,,19,,32,,38,,44,,39,,52,,38,,21,,30,,8,,14,,0,,13,,0,,13,,29,,23,,8,,12,,39,,50,,0,,13,,634,,210,,25,,39,,82,,81,,45,,39,,0,,13,,6,,10,,0,,13,,23,,33,,44,,48,,20,,23,,15,,20,,109,,84,,41,,40,,19,,28,,29,,31,,73,,71,,22,,25,,17,,18,,16,,21,,6,,11,,27,,27,,7,,11,,8,,13,,0,,13,,1500000US060133610001,Block Group 1; Census Tract 3610; Contra Costa County; California,06,013,361000,1
Block Group 4; Census Tract 3462.04; Contra Costa County; California,1607,,895,,747,,466,,102,,136,,0,,13,,30,,32,,116,,161,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,19,,30,,15,,28,,121,,100,,213,,221,,0,,13,,58,,83,,0,,13,,31,,35,,0,,13,,0,,13,,12,,19,,0,,13,,0,,13,,30,,38,,860,,476,,21,,24,,66,,68,,290,,254,,69,,68,,21,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,61,,69,,70,,67,,210,,195,,13,,20,,0,,13,,29,,35,,0,,13,,0,,13,,0,,13,,0,,13,,10,,19,,0,,13,,0,,13,,1500000US060133462044,Block Group 4; Census Tract 3462.04; Contra Costa County; California,06,013,346204,4
Block Group 2; Census Tract 3902; Contra Costa County; California,700,,120,,349,,60,,23,,17,,29,,18,,9,,9,,0,,13,,17,,19,,0,,13,,0,,13,,0,,13,,4,,8,,19,,22,,35,,21,,29,,20,,39,,26,,9,,12,,29,,20,,8,,9,,30,,21,,7,,10,,14,,15,,26,,18,,6,,5,,9,,12,,7,,11,,351,,73,,32,,27,,3,,6,,0,,13,,4,,6,,1,,5,,0,,13,,0,,13,,0,,13,,19,,17,,24,,21,,36,,19,,11,,12,,30,,17,,29,,20,,50,,28,,0,,13,,7,,9,,9,,13,,35,,21,,22,,16,,19,,14,,11,,17,,9,,12,,1500000US060133902002,Block Group 2; Census Tract 3902; Contra Costa County; California,06,013,390200,2
Block Group 6; Census Tract 3373; Contra Costa County; California,729,,286,,393,,171,,24,,28,,16,,26,,16,,27,,20,,31,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,14,,26,,39,,34,,17,,28,,0,,13,,87,,84,,16,,25,,39,,37,,0,,13,,8,,14,,29,,29,,8,,14,,0,,13,,60,,80,,336,,148,,12,,18,,34,,54,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,38,,57,,0,,13,,0,,13,,12,,18,,40,,35,,13,,21,,19,,29,,55,,58,,0,,13,,24,,31,,9,,14,,28,,29,,26,,28,,0,,13,,24,,25,,2,,9,,1500000US060133373006,Block Group 6; Census Tract 3373; Contra Costa County; California,06,013,337300,6
Block Group 4; Census Tract 3010; Contra Costa County; California,712,,384,,487,,281,,0,,13,,0,,13,,52,,72,,33,,40,,0,,13,,0,,13,,0,,13,,44,,52,,179,,140,,69,,103,,19,,31,,0,,13,,23,,28,,19,,26,,35,,39,,0,,13,,0,,13,,0,,13,,8,,15,,0,,13,,6,,12,,0,,13,,0,,13,,225,,128,,14,,22,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,79,,86,,0,,13,,19,,30,,25,,41,,0,,13,,19,,22,,31,,40,,25,,28,,13,,20,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1500000US060133010004,Block Group 4; Census Tract 3010; Contra Costa County; California,06,013,301000,4
Block Group 1; Census Tract 3020.11; Contra Costa County; California,3328,,514,,1463,,261,,90,,74,,89,,79,,52,,45,,112,,98,,61,,49,,21,,36,,0,,13,,0,,13,,74,,56,,75,,73,,137,,77,,189,,120,,116,,83,,150,,131,,49,,53,,152,,129,,43,,56,,17,,32,,7,,12,,0,,13,,29,,31,,0,,13,,0,,13,,1865,,322,,278,,157,,109,,85,,68,,82,,41,,62,,106,,84,,0,,13,,75,,93,,44,,55,,205,,153,,212,,135,,133,,92,,100,,95,,107,,73,,169,,125,,107,,75,,0,,13,,15,,25,,0,,13,,43,,49,,21,,36,,32,,34,,0,,13,,0,,13,,1500000US060133020111,Block Group 1; Census Tract 3020.11; Contra Costa County; California,06,013,302011,1
