year,geoid,state,state_name,county,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2022,27001,27,Minnesota,Aitkin,14.431800561797742,6.8124269662921106,94.495297752808824,55.423275280898807,292.12738483146006,198.38353089887633,24.419039325842661,24.309508426966314,31.775416901408445,31.9434450704225,2848
2022,27003,27,Minnesota,Anoka,0.18850549450549442,0.044571428571428588,154.589096153846,23.84317032967034,918.40039835164657,597.83662087912,15.576637362637369,15.59058791208793,23.162473829201087,23.140349862258955,2912
2022,27005,27,Minnesota,Becker,5.8115222222222,1.3215166666666678,71.328386111111371,19.673963888888881,309.5696055555544,111.02854166666641,18.269497222222252,18.213463888888903,29.993353760445665,30.020228412256227,2880
2022,27007,27,Minnesota,Beltrami,8.3688176795580063,3.9622955801105162,131.10276519337017,67.84419060773493,481.75414364640909,278.11149171270728,19.347651933701631,19.238209944751347,24.043964088397772,23.992729281767925,2896
2022,27009,27,Minnesota,Benton,6.9779005524861839,2.3006049723756892,138.90543922651875,47.791911602210021,471.47615193370177,275.34878453038618,14.584301104972386,14.593977900552471,27.724573407202193,27.262880886426565,2896
2022,27011,27,Minnesota,Big Stone,62.39069111969124,20.444733590733616,99.665308880308785,29.727471042471038,143.91828957528961,41.634555984555973,28.595220077220063,29.069297297297307,30.683407843137303,30.360984313725456,2072
2022,27013,27,Minnesota,Blue Earth,0.84379945054945082,0.11945054945054931,111.30857142857171,26.495931318681333,612.8604917582411,432.862684065935,20.015118131868118,19.978340659340653,27.626110192837459,27.631914600550942,2912
2022,27015,27,Minnesota,Brown,4.967143250688701,0.669986225895318,80.591002754820991,23.199639118457323,348.70623691460162,131.41772727272735,21.458052341597774,21.444261707989025,25.885121212121241,25.836710743801589,2904
2022,27017,27,Minnesota,Carlton,1.6407563739376811,0.21645609065155819,90.2199603399431,45.609549575070872,446.96606515580731,305.2987025495753,22.020141643059485,22.058535410764858,32.250596590909069,32.281133522727174,2824
2022,27019,27,Minnesota,Carver,0.51851923076923034,0.065956043956044014,149.53239285714281,47.380038461538405,809.10457142857149,736.30568681318823,15.099763736263721,15.145538461538452,26.124374655647454,26.183137741046792,2912
2022,27021,27,Minnesota,Cass,5.6430083102492965,0.84061218836565021,75.141415512465372,33.348401662049859,305.11366481994526,166.97011080332405,21.727576177285279,21.929002770083155,32.738577777777792,32.754394444444571,2888
2022,27023,27,Minnesota,Chippewa,25.118645645645557,9.1681351351351363,86.616264264264245,26.227675675675663,188.64722522522521,56.359249249249267,20.600120120120177,20.829456456456413,29.794871559633066,29.479006116207927,2664
2022,27025,27,Minnesota,Chisago,1.1021294765840208,0.2285316804407716,115.98019008264478,28.884991735537149,600.68570523415917,290.00691460055117,22.578292011019293,22.564090909090872,32.032994475138132,31.949071823204367,2904
2022,27027,27,Minnesota,Clay,4.1838154269972572,0.815520661157024,105.51322589531665,40.516484848484886,445.66210192837428,201.95220110192929,22.165939393939365,22.161559228650173,31.904608815426979,32.0345895316804,2904
2022,27029,27,Minnesota,Clearwater,27.630972299168945,15.829781163434841,99.343775623268826,59.222897506925271,205.45022991689828,133.42598614958462,21.251462603878096,21.208573407202234,25.09780277777773,24.883022222222213,2888
2022,27031,27,Minnesota,Cook,14.925568571428578,15.057499999999955,75.374905714285859,64.329274285714249,189.36429714285759,146.61619714285735,22.625954285714236,22.364382857142846,36.205034985422657,36.468034985422683,2800
2022,27033,27,Minnesota,Cottonwood,8.2532853185595574,4.1231523545706441,37.49680886426593,21.498418282548489,119.58311357340732,63.707933518005611,20.378113573407212,20.256346260387772,33.227941666666688,33.521044444444435,2888
2022,27035,27,Minnesota,Crow Wing,1.7124340659340649,0.35685439560439597,107.62815659340653,39.91771703296714,485.39708241758166,365.19044780219707,16.736747252747257,16.731000000000012,29.149413223140495,29.125066115702477,2912
2022,27037,27,Minnesota,Dakota,0.16238186813186795,0.031491758241758275,156.20009065934113,28.429689560439556,916.52891208791141,739.416321428572,15.471741758241713,15.479302197802227,26.090168044077085,26.075228650137781,2912
2022,27039,27,Minnesota,Dodge,4.6103462603878187,2.0284404432133019,67.075831024930864,41.707980609418343,252.84414404432181,166.0482216066479,18.016393351800545,17.98208864265931,26.721286111111088,26.956886111111096,2888
2022,27041,27,Minnesota,Douglas,4.3412005494505559,1.1185329670329685,94.776098901098791,26.269296703296664,384.76588461538557,153.125565934066,19.87656593406599,19.969500000000032,27.462939393939365,27.389592286501411,2912
2022,27043,27,Minnesota,Faribault,10.174694214876023,4.037955922864997,66.867482093663753,29.404333333333362,204.05174931129474,87.031399449035831,22.577694214876047,22.427206611570252,31.088602777777716,31.055288888888832,2904
2022,27045,27,Minnesota,Fillmore,6.8459410112359445,1.2773174157303346,92.934300561797556,31.451033707865175,347.27966853932708,150.24773595505602,23.587856741573,23.630053370786488,27.73817415730338,27.829098314606711,2848
2022,27047,27,Minnesota,Freeborn,9.8743102493074968,2.5272548476454291,104.77191135734085,30.607108033241015,287.02804432132962,124.58746537396134,24.364725761772846,24.446559556786763,31.576475,31.971527777777826,2888
2022,27049,27,Minnesota,Goodhue,1.6686016483516493,0.43025549450549466,101.24034615384613,59.558642857142814,533.17631043956192,456.97679120879093,17.010733516483544,17.001804945054943,27.215471074380169,27.146898071625422,2912
2022,27051,27,Minnesota,Grant,19.429817307692307,14.200897435897431,36.473099358974352,26.007573717948752,59.684394230769165,41.764875000000018,22.528621794871786,22.65959615384611,28.654302325581419,28.440637873754149,2496
