year,country,state,state_name,city,download_min,upload_min,download_avg,upload_avg,download_max,upload_max,download_minRTT_r1,download_minRTT_r2,upload_minRTT_r1,upload_minRTT_r2,num_of_measurements_daily_sampled
2023,IN,IN-OD,Odisha,Andharibanji,3.3876666666666662,4.8946666666666676,12.465666666666667,4.8946666666666676,21.544000000000004,4.8946666666666676,51.333666666666666,51.333666666666666,50.138333333333321,50.138333333333321,24
2023,IN,IN-OD,Odisha,Angul,0.938210526315789,0.066105263157894709,37.860736842105261,25.35163157894738,159.94236842105261,98.855052631578928,30.381526315789472,30.161210526315784,32.704999999999991,32.6293157894737,152
2023,IN,IN-OD,Odisha,Balasore,0.36510526315789471,0.04463157894736839,37.913842105263164,28.609368421052633,197.75863157894725,139.76710526315793,44.814526315789472,44.859368421052643,46.884736842105262,47.339736842105282,152
2023,IN,IN-OD,Odisha,Balāngīr,3.794789473684212,0.057473684210526323,48.459473684210543,23.42868421052631,167.955,79.733789473684226,48.787842105263145,49.074210526315738,49.599631578947353,49.794578947368443,152
2023,IN,IN-OD,Odisha,Barbil,9.5265294117647112,3.8202352941176492,28.870352941176478,18.690352941176464,49.085705882352961,32.680882352941175,75.1,75.130529411764684,78.6654705882353,78.6654705882353,136
2023,IN,IN-OD,Odisha,Bargaon,15.847846153846165,6.5724615384615372,44.807923076923082,31.846538461538458,82.862461538461531,64.305692307692311,109.64199999999998,108.95261538461541,129.87346153846156,129.03515384615378,104
2023,IN,IN-OD,Odisha,Bargarh,0.57573684210526321,0.045526315789473665,43.912578947368416,18.484684210526304,213.50889473684205,93.587263157894753,57.200210526315765,57.566631578947351,57.358052631578929,57.472210526315784,152
2023,IN,IN-OD,Odisha,Baripāda,0.44926315789473675,0.036947368421052618,21.210052631578954,11.229894736842105,125.76594736842105,88.037315789473681,73.821368421052682,74.119999999999962,73.423368421052658,73.469157894736838,152
2023,IN,IN-OD,Odisha,Barpāli,20.352090909090915,13.713636363636361,33.386818181818157,22.26645454545454,49.017818181818186,30.655272727272727,71.776272727272783,73.755454545454555,101.89681818181816,102.22272727272728,88
2023,IN,IN-OD,Odisha,Bhadrakh,0.44199999999999984,0.052789473684210539,39.703736842105286,33.6564210526316,182.4346315789474,251.8806315789474,60.042526315789488,59.993631578947387,61.548105263157886,61.451789473684194,152
2023,IN,IN-OD,Odisha,Bhubaneswar,0.020947368421052628,0.006789473684210524,53.236263157894754,14.555684210526318,433.4938421052633,459.01510526315781,84.005315789473684,83.984421052631617,81.77505263157893,81.81110526315797,152
2023,IN,IN-OD,Odisha,Brahmapur,0.15221052631578944,0.035684210526315784,39.654052631578956,29.454631578947367,185.19315789473686,150.37694736842113,54.845263157894706,54.877210526315807,55.564526315789465,55.636105263157866,152
2023,IN,IN-OD,Odisha,Bānki,2.4336153846153854,0.03653846153846154,12.018307692307687,2.8733846153846163,50.119230769230768,22.401615384615376,99.5858461538462,100.18299999999999,102.00815384615385,101.6070769230769,104
2023,IN,IN-OD,Odisha,Cuttack,0.079842105263157867,0.0081052631578947335,25.025947368421065,13.63357894736842,256.88136842105246,151.80873684210511,73.086842105263187,73.012421052631609,73.220999999999989,73.303789473684219,152
2023,IN,IN-OD,Odisha,Dhenkānāl,20.881421052631588,5.8013157894736889,80.326578947368475,75.077684210526243,200.04331578947364,278.64147368421055,47.5616842105263,44.109842105263191,42.118,42.78242105263157,152
2023,IN,IN-OD,Odisha,Gopālpur,17.533842105263162,11.465894736842104,42.647315789473694,35.872894736842106,69.14657894736844,61.604578947368388,51.291631578947381,51.281473684210539,51.966315789473676,51.852368421052631,152
2023,IN,IN-OD,Odisha,Jagatsinghapur,2.6317777777777782,2.9531111111111112,38.792999999999978,26.907722222222212,102.62205555555558,82.15533333333326,43.28561111111113,44.201833333333333,45.964444444444439,45.439777777777792,144
2023,IN,IN-OD,Odisha,Jaleshwar,2.7019999999999995,1.8473684210526307,40.493526315789481,32.7247894736842,106.60547368421052,90.390315789473732,36.098315789473681,36.014315789473692,37.135947368421071,36.968578947368428,152
2023,IN,IN-OD,Odisha,Jeypore,1.0243157894736834,0.076947368421052612,34.575210526315786,20.245315789473665,134.20800000000003,89.503052631578925,55.5991052631579,55.777736842105263,56.206210526315786,56.13626315789476,152
2023,IN,IN-OD,Odisha,Jharsuguda,0.17431578947368417,0.030210526315789476,18.372526315789468,9.0899999999999945,117.5368947368421,81.70236842105264,84.015421052631567,84.083736842105267,85.283789473684209,85.078263157894739,152
2023,IN,IN-OD,Odisha,Joda,5.1545555555555556,2.1846666666666663,19.418277777777785,13.677611111111114,46.429722222222232,31.636222222222223,58.271944444444436,58.69561111111112,59.653777777777726,59.997166666666637,144
2023,IN,IN-OD,Odisha,Jājpur,1.0850000000000004,0.059052631578947357,35.327631578947376,26.542842105263158,107.73215789473683,94.997842105263175,51.446368421052611,51.109263157894738,51.860157894736837,51.83784210526315,152
2023,IN,IN-OD,Odisha,Kanpur,8.8061666666666678,1.8167777777777783,26.75311111111111,5.7697777777777768,46.170500000000011,13.228499999999999,51.894333333333336,52.030000000000015,61.844833333333355,61.784055555555547,144
2023,IN,IN-OD,Odisha,Keonjhargarh,0.075052631578947357,0.00947368421052632,81.441947368421054,10.632736842105261,282.16626315789478,110.1081052631579,87.98873684210524,88.0115789473684,88.2406315789473,88.187000000000012,152
2023,IN,IN-OD,Odisha,Khandagiri,3.1295263157894722,0.44310526315789484,34.751421052631571,19.638842105263151,109.85336842105265,53.15352631578947,54.174157894736823,54.435210526315828,64.364157894736849,59.795526315789473,152
